순번,키워드,표제어,설명,출처
69,가,구매요청번호,"국외조달의 구매요청번호 부여체계는 아래와 같다. Ex) PDD87001 1. P : 군별구분 (B: 육군, P: 해군, D: 공군, E: 국직)  2. D : 기능구분 (B: 화력, G: 기동, E: 공병, D: 통신, L: 수송, F: 항공, M: 화학, N: 병참, X: 의무, A: 항공, C: 함정, K: 탄약, J: 연료, Q: 건전지, R: 기타) 3. D : 품목구분 (A: 장비, B: 장비정비, C: 물자, D: 확정부품, E: 기술용역, F: 교육, M: 한도액부품, H: 기타) 4. 8 : 팀별구분 (7: BOA팀, 8: 국제부품팀, 9: 국제장비팀) 5. 7 : 해당연도의 끝 숫자 6. 001 : 일련번호",국제계약 실무과정
70,가,구입부품,방산원가에서 구입부품은 계약상대자가 국내에서 구입하는 부품을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
71,가,구입재료,방산원가에서 구입재료는 계약상대자가 국내에서 구입하는 재료를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
72,가,국가를 당사자로 하는 계약에 관한 법률,국계법. 국가가 당사자가 되는 계약에 관한 기본 사항을 정해 계약업무를 원활하게 수행하도록 규정하는 법을 말하며 방위사업청의 계약은 주로 국계법과 방위사업법에 규정된 계약 방법을 따라 이루어진다.,국계법
73,가,국가부호국부호,NCB Code(National Codification Bureau Code). 국가재고번호 중 군급분류번호(FSC) 다음 2자리 숫자로 구성되며 대한민국은 '37'이다.,국방전력발전업무훈령 별표
74,가,국가재고번호,NSN(National Stick Number). 보급품목을 식별하기 위하여 세계 전 국가에서 공히 사용되는 재고번호로서 그 구성은 13자리 숫자로 되어 있으며 4자리는 군급분류부호(FSC)를 그대로 적용하고 다음 2자리의 국가부호국부호(NCB Code)와 마지막 7자리는 품목식별번호(IIN)로 구성되어 있다.,국방전력발전업무훈령 별표
75,가,국가재고번호품목,"국가재고번호는 대한민국 군수품의 국가재고번호로서 나토(NATO)에서 부여한 것으로, 국내자본이나 기술에 의해 국내ㆍ외에서 독자적으로 개발된 품목 또는 외국 제품 중 국내개발 시 형상 등이 기존품목과 다르게 개량된 품목 등을 말한다. 국가재고번호의 부여대상은 대체로 연구개발품목, 성능 및 품질개선품목, 국내 기술에 의거 조립 생산된 품목, 국내생산 사용품 중 군수품으로 대체된 품목 등이 이에 해당된다.",국방전력발전업무훈령 별표
76,가,국가종합전자조달시스템,조달청장이 조달업무를 전자적으로 처리하기 위하여 구축·운용하는 정보시스템으로 나라장터를 말한다.,전자조달의 이용 및 촉진에 관한 법률 제2조
77,가,국군재정관리단,"군인·군무원 등에 대한 보수 등의 지급, 물품·공사·용역의 계약 등 군의 재정관리 업무를 통합적으로 수행하기 위한 국방부장관 소속 기관으로 부대조달 품목 중 5천만원 이상의 물품,공사,용역 계약 업무를 수행한다.",국군재정관리단령
78,가,국내조달 전자입찰,"국방전자조달시스템을 이용하여 행하여지는 입찰 중, 국내에서 생산 또는 공급되는 품목에 대한 입찰을 말한다. 시스템 메뉴 중 '국내조달'에서 이루어지는 입찰이 이에 해당되며 중앙조달/부대조달의 물품, 용역 분야 입찰이 여기에 속한다.",정보화기획담당관
