순번,키워드,표제어,설명,출처
183,바,분담비율,유인부계약을 체결하는 경우에 유인이익을 산출하는 기준으로서 목표원가와 유인부적용대상 비목등의 실제발생원가와의 차액 중에서 계약상대자가 받는 금액이 차지하는 비율을 말한다.,방위산업계약사무처리규칙 제2조
184,바,분담이행방식,공동계약의 유형 중 하나로 공동수급체 구성원이 일정 분담내용에 따라 나누어 공동으로 계약을 이행하는 공동계약을 말한다.,계약예규 8. 제2조의2
185,바,분리계약,체계조립업체 뿐만 아니라 구성품을 생산하는 협력업체와 각각 계약을 체결하여 체계조립 업체에 구성품을 관급지원하는 계약형태를 말한다.,"일괄,분리계약"
186,바,분임계약관,계약관의 사무의 일부를 분장하는 공무원을 말한다.,국계법 시행령 제5조
187,바,분할수의계약,예정가격 또는 낙찰금액을 분할하여 계산할 수 있는 경우 수인에게 분할하여 체결하는 계약,국계법 시행령 제29조
188,바,불가항력,"계약 수행에 있어 태풍·홍수 기타 악천후, 전쟁 또는 사변, 지진, 화재, 전염병, 폭동 기타 계약당사자의 통제범위를 초월하는 사태의 발생 등의 사유로 인하여 계약당사자 누구의 책임에도 속하지 아니하는 경우를 말한다.",계약예규 11. 제24조
189,바,불법투찰,"입찰 참여자가 공인인증서를 브로커에게 대여하거나, 타 참여자와 담합, 중복/이중, 해킹 등 비정상적인 방법으로 입찰서를 제출하는 행위를 말한다.",국방전자조달시스템 관리규정 제2조
190,바,비공개수의협상,관련법령에 따라 경쟁계약을 체결할 수 없는 불가피한 경우에 수의계약을 체결하기 위해 가격협상 등 협상관과 조달업체 간의 일련의 협의행위를 말한다. 수의협상 중 비공개수의협상은 방산물자 등의 사유로 수의협상 내용이 비공개되어 협상관과 특정 업체 간에 1대1로 협상이 진행된다.,계약실무 편람
191,바,비목군,"기수조정율 산출 시 계약금액의 산출내역중 재료비, 노무비 및 경비를 구성하는 제비목을 노무비, 기계경비, 실적공사비 또는 한국은행이 조사 발표하는 생산자물가기본분류지수 및 수입물가지수표상의 품류에 따라 입찰시점(수의계약의 경우에는 계약체결시점을 말한다. 이하 같다)에 계약담당공무원이 분류한 비목을 말한다.",계약예규 1. 제68조
192,바,비무기체계,무기체계 외의 장비ㆍ부품ㆍ시설ㆍ소프트웨어 그 밖의 물품 등 제반요소를 말한다.,방위사업법 제3조
193,바,비상주감리원,감리전문회사에 근무하면서 상주감리원의 업무를 지원하는 자를 말한다.,계약예규 11. 제39조
194,사,사고이월,"연도 내 지출원인행위가 이루어졌고, 연도 내에 지출하게 되어 있었으나 납품지연, 공사 지연, 하자발생 등의 부득이한 사유로 연도 내에 지출하지 못한 세출예산을 다음 연도로 넘겨 사용하는 것을 말한다.",국방전력발전업무훈령 별표
195,사,사급품,"방산물자를 일괄계약할 경우에 사용되는 용어로 주장비 업체에서 주장비 계약업체와 별도 계약체결을 하여 체계조립용 수리부속을 납품받을 때 그 납품 품목을 일컫는다. 사급품을 포함한 체계조립 품목을 일괄로 계약담당공무원이 계약을 하게된다. 즉, 장비의 제조에 필요한 주요구성품 등을 주장비생산업체에서 부품 제조업체와 직접 계약하여 구입 및 생산하는 것을 말한다.",계약업무 CHECKPOINT
196,사,사업설명회,"사업을 발주한 해당 부서(통합사업관리팀, 국과연, 발주부대 등)에서 주관하여 사업 참여를 희망하는 업체에 대해 사업내용 및 제안요청 내용을 설명해주는 회의를 말한다.",사업관리본부 내규
197,사,사업성과관리제도,"EVMS(Earned Value Management System). 사업계획을 수립하고, 수행성과와 실비용을 측정하여 사업의 진행상태를 점검하고 미래를 예측하며 문제점을 조기에 식별함으로써 적절한 대책을 강구토록 지원하는 제도를 말한다.",국방전력발전업무훈령 별표
198,사,사업자등록번호,"사업자는 부가가치세법에 따라 사업장 관할 세무서장에게 사업자등록을 신청해야 하며, 이때 발급받는 등록증에 부여된 등록번호를 사업자등록번호라 한다. 즉, 사업자 구분을 위해 부여되는 번호로써 부가가치세 사무처리규정에 따라 사업자등록번호는 전산시스템에 의하여 순서대로 자동 부여된다. 국방전자조달시스템에서는 사업자등록번호를 포함한 조달원 정보를 조달청 나라장터에서 연계받으며, 이때 사업자등록번호는 업체코드 생성을 위한 기준의 하나가 된다.",부가가치세법
199,사,사장품,방산원가에서 사장품이란 정부가 규격 또는 설계를 변경하거나 계약상대자가 정부의 승인을 받아 규격 또는 설계를 변경하여 해당 제품의 실체를 구성하지 못하게 된 제품ㆍ재공품(제조과정에 있는 물품을 말한다)ㆍ견품ㆍ모형 및 재료를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
200,사,사전심사,입찰참가신청서를 계약담당공무원이 등록심사할 때의 시점을 말하며 사전심사의 경우 참가신청 후 등록심사에 확정된 조달업체만 입찰서를 제출할 수 있다.,정보화기획담당관
201,사,사후심사,입찰참가신청서를 계약담당공무원이 등록심사할 때의 시점을 말하며 사후심사의 경우 참가신청 후 등록심사 없이 곧바로 입찰서를 제출하는 방식으로 등록심사는 입찰서 제출이 마감된 이후에 실시된다. 방위사업청(중앙조달) 입찰은 대부분 사후심사 방식으로 이루어지고 있다.,정보화기획담당관
202,사,사후원가검토조건부계약,입찰 전에 예정가격을 구성하는 일부 비목의 금액을 결정할 수 없는 경우 계약금액을 잠정적으로 정한 후 계약이행이 완료되면 국계령에서 규정한 예정가격 결정기준에 따라 원가를 검토하여 계약금액을 조정할 수 있도록 사후 원가 검토조건으로 체결하는 계약을 말한다.,계약방법 형태별 내용 적용 현황
203,사,산출내역서,"입찰금액 또는 계약금액을 구성하는 물량, 규격, 단위, 단가 등을 기재한 내역서를 말한다.",계약예규 9. 제2조
204,사,상업구매,국외조달 구매방법의 한 형태로서 우리나라정부가 국외업체로 부터 군수품을 구매하는 것을 말한다.,방위사업관리규정 별표
205,사,상용품목,"민수용으로 생산·유통되고 있는 품목을 군에서 군수품으로 채택 사용하는 품목을 말한다. 상용품목으로 지정된 품목은 완제품 및 부분품의 정상소요를 반영하여 조달할 수 있으며, 국방규격을 제정하지 아니하고 한국산업규격 및 정부관계기관 규격적용을 원칙으로 한다.",국방전력발전업무훈령 별표
206,사,상주감리원,현장에 상주하면서 감리업무를 수행하는 자를 말한다.,계약예규 11. 제39조
207,사,생산능력제출 마감일시,"방위사업청 중앙조달 품목 중 생산능력확인제도에 해당하는 입찰공고에서 생산능력확인서류를 제출해야 하는 마감일시를 말한다. 제출 서류는 파일 첨부를 통해 제출이 가능하며, 자세한 사항은 입찰공고문 및 관련규정을 반드시 확인해야 한다.",정보화기획담당관
208,사,생산능력확인제도,"’98.7.1일 부터 군납등록제도가 폐지된 후 생산능력이 없는 업체가 입찰에 참가하여 낙찰됨에 따라 계약불이행, 하자발생, 납품지체가 증가함에 따라 이를 해소하기 위한 보완책으로 ’00.4월부터 도입된 제도이다. 본 제도가 적용되는 입찰 건은 입찰공고문에 생산능력확인대상임이 명시되며 생산능력 또는 정비능력을 확인할 수 있는 관련 서류를 제출하여야 한다.",계약실무편람
209,사,서류입찰,국외조달 전자입찰의 방법 중 하나로 국외조달의 특성에 따라 입찰참가등록서류 등을 시스템이 아닌 직접 방문이나 우편 등으로 제출받는 것을 말한다.,국방전자조달시스템 전자입찰 특별유의서 제8조
210,사,선금,Prepaid Advance Payments. 확정된 채무에 대하여 상대방의 이행전 또는 지급할 시기의 도래전에 미리 그 대금의 전부 또는 일부를 지급하는 것을 말한다.,방위사업관리규정 별표
211,사,선급금,"국고금관리법에 따른 선금, 방위사업법에 따른 착수금 및 중도금을 말한다.",조달관리 실무과정
212,사,선하증권,"B/L(Bill of Lading). 화물선적을 입증하는 기본서류로서 유통할 수 있는 유가증권이므로 이 서류가 없으면 대금을 받을 수도 없고, 화물을 인수할 수도 없다. 다시 말하면 선하증권은 선박회사가 화주로 부터 화물을 선적한 사실 또는 선적을 목적으로 수탁한 사실을 입증하고 그 화물을 인도할 것을 약속한 화물수취증권이다.",방위사업관리규정 별표
213,사,설계금액,예정가격을 결정하기 위하여 가격조사 또는 원가계산방식에 의하여 산정한 금액으로서 기초예비가격 결정의 기준이 되는 가격을 말한다.,계약업무처리훈령
214,사,설계도면,시공될 공사의 성격과 범위를 표시하고 설계자의 의사를 일정한 약속에 근거하여 그림으로 표현한 도서로서 공사목적물의 내용을 구체적인 그림으로 표시해 놓은 도서를 말한다.,계약예규 9. 제2조
215,사,설계서,"계약예규에 따른 공사시방서, 설계도면, 현장설명서 및 공종별 목적물 물량내역서를 말한다.",계약예규 5. 제2조
216,사,설계자,설계용역계약의 계약상대자를 말한다.,계약예규 11. 제39조
217,사,성과기반계약,계약을 체결하는 때에 특정한 성과의 달성을 요구하고 계약 이행 후 그 성과에 따라 대가를 차등 지급하려는 경우에 체결하는 계약을 말한다.,방위사업법 시행령 제61조
218,사,소요군,"所要軍, Requirement Military. 기획/계획과정에서 어떤 부대가 일정시기에 임무를 수행하기 위해 필요한 소요를 제기하는 기관이며 임무수행을 위해 무기 등을 요구하는 대상자를 의미한다. 주로 방위력개선사업에서 사용한다.",계약업무 CHECKPOINT
219,사,소프트웨어사업,"소프트웨어산업진흥법에 의한 소프트웨어의 개발·제작·생산·유통 등과 이에 관련된 서비스, 「정보화촉진 기본법」에 의한 정보화에 관한 사업 및 정보시스템의 효율적 도입 및 운영 등에 관한 법률에 의한 정보시스템의 구축·운영 등 소프트웨어산업과 관련된 경제활동을 말한다.",계약예규 11. 제49조
220,사,송장,"Invoice. 매매 당사자들이 원거리에 있을 경우 매도인(賣渡人)이 매수인(買受人)에게 작성·통보하는 선적 화물의 명세서 및 계산서이며, 매수인 입장에서는 수입계산서 역할을 하는 것을 말한다.",국방표준바코드 운용지침서 별지
221,사,수요군,"需要軍, Demanding Force. 기획/계획 과정에서 어떤 부대가 일정시기에 임무를 수행하기 위해 필요한 소요(전력명, 필요성, 운용개념 등)을 제기하는 기관을 말하며 통상 조달기관에 대응하는 용어이다.",계약업무 CHECKPOINT
222,사,수의계약,"경쟁에 부칠 여유가 없거나 경쟁에 부쳐서는 계약의 목적을 달성하기 곤란하다고 판단되는 경우에 체결하는 계약 형태를 말한다. 수의계약을 체결하는 경우는 긴급, 비밀, 연구개발, 비상재해, 경쟁 성립이 될 수 없는 경우, 중소기업자 제품을 구매하는 경우, 보훈단체 수의계약, 소액수의계약, 방산수의계약, 유찰수의계약, 낙찰자가 계약을 체결하지 않는 경우, 분할수의계약 등을 들 수 있다.",계약방법 형태별 내용 적용 현황
223,사,수의협상,"국계법상 경쟁계약 원칙으로 하는 정부계약에 있어 불가피한 경우 수의계약이 인정되며, 수의계약을 위하여 특정 대상자와 계약조건 및 가격 등을 판매자와 구매자 상호간 합의점을 도출하기 위한 일련의 협의행위를 말한다. 국방전자조달시스템에서 수의협상은 '공개수의협상'과 '비공개수의협상'으로 구분되며 방산물자 등 비공개 대상 품목에 대한 수의협상은 '비공개수의협상'에서 이루어진다.",계약실무편람
224,사,수입부품,방산원가에서 수입부품은 계약상대자가 직접 또는 수입업자를 통하여 외국에서 수입하는 부품을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
225,사,수입재료,방산원가에서 수입재료는 계약상대자가 직접 또는 수입업자를 통하여 외국에서 수입하는 재료를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
226,사,수입품,방산원가에서 수입품은 수입재료와 수입부품을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
227,사,수정계약,"기존 계약과의 기본적 동일성을 유지하는 범위내에서 계약내용을 구성하는 납품장소, 납품기한, 납품수량, 계약금액 등의 계약내용 또는 계약조건의 일부를 변경하는 계약을 말한다.",계약변경업무 처리지침 제2조
228,사,시공자,공사계약의 계약상대자를 말한다.,계약예규 11. 제39조
229,사,시설공사,"군수품 조달은 크게 물품/용역/시설공사로 구분되며, 방위사업청은 시설공사 업무를 하지 않고 각 군부대에서 맡아 시설공사 업무를 처리한다. 따라서 국방전자조달시스템 - 시설공사 메뉴는 전부 부대에서 발주한 입찰로 볼 수 있다.",정보화기획담당관
230,사,시작가격,국외조달 역경매입찰에서 계약담당자가 공개하는 최대입찰가격을 말한다.,역경매입찰 특별유의서 제2조
231,사,신용장,"L/C(Letter of Credit) 개설신청인의 요청과 지시에 따라 또는 은행자신을 위하여 개설은행이 신용장조건에 일치하는 소정의 서류와 상환으로 환어음의 인수, 지급  또는 매입 할 것을 어음발행인과 어음수취인에 대하여 약정하는 증서를 말한다.",방위사업관리규정 별표
232,사,신인도,"신인도는 적격심사 대상자의 사회적 책임 등 신뢰정도(녹색성장, 노사관리, 납세의무, 여상기업, 장애인기업, 사후관리, 조달관리우수, 수출기여 등)와 계약이행성실도(품질하자, 납품지연, 부정당업자 제재, 식품위생법 및 축산물위생관리법 위반 등)를 측정하는 것을 말한다. 신인도 평가기준은 각 기관 별/분야별로 항목과 점수 배점이 상이하므로 해당 입찰공고문 및 관련 규정을 꼭 확인하여야 한다.",물품적격심사기준
233,사,실시설계 기술제안입찰,발주기관이 교부한 실시설계서 및 입찰안내서에 따라 입찰자가 기술제안서를 작성하여 입찰서와 함께 제출하는 입찰을 말한다.,국계법 시행령 제98조
234,사,실시설계서,기본계획 및 지침과 기본설계에 따라 세부적으로 작성한 시공에 필요한 설계서(설계서에 부수되는 도서를 포함한다)를 말한다.,국계법 시행령 제79조
235,사,실적,"현재 발주하려는 계약과 계약내용이 실질적으로 동일한 것은 물론, 이와 유사하여 계약목적달성이 가능하다고 인정되는 과거 1건의 공사 또는 제조 등의 실적(장기계속공사 또는 제조 등에 있어서는 총공사 또는 제조 등의 실적으로 한다)에 해당되는 금액 또는 규모(양)를 말한다.",계약예규 1. 제5조
236,사,실적가,"국외조달 목표가 산정에 있어 실적가는 방위사업청, 소요군, 방산업체 등 국내 조달기관이 과거에 구매한 가격과 판매국의 판매가 또는 제3국 정부가 과거에 구매한 가격 등을 말한다.",국제계약 실무과정
237,사,실제발생원가,계약이행기간 중 또는 계약이행 후에 획득한 원가자료에 기초하여 「방산원가대상물자의 원가계산에 관한 규칙」에 따라 산정한 총원가를 말한다.,방위산업계약사무처리규칙 제2조
238,아,1차 협력업체,"계약담당공무원과 계약상대자의 계약에서 별도로 계약상대자가 타 업체를 상대로 계약을 체결하는 경우에 해당 업체를 하수급인(과거 '병'에 해당)이라 하나, 방위사업청의 수평적 계약문화 정착을 위한 용어 정립에 따라 '하수급인'을 '1차 협력업체'로 대체하여 사용하고 있다.",수평적 계약문화 정착을 위한 우리 청 갑을 용어 정립안 검토 보고
239,아,2단계 경쟁입찰,"물품의 제조·구매 또는 용역계약에 있어서 미리 적절한 규격등의 작성이 곤란하거나 기타 계약의 특성상 필요하다고 인정되는 경우에 먼저 규격 또는 기술입찰을 실시한 후 가격입찰을 실시하는 경쟁입찰 방법이며 필요성이 인정되는 경우에는 규격과 가격 또는 기술과 가격입찰을 동시에 실시할 수 있다. 이러한 2가지 경우를 구별하여 전자를 '2단계 분리 경쟁입찰', 후자를 '2단계 동시 경쟁입찰'로 부르기도 한다.",국계법 시행령 제18조
240,아,2차 협력업체,1차 업력업체가 타 업체를 상대로 계약을 체결하는 경우에 해당 업체를 2차 협력업체(과거 '정'에 해당)라 한다.,수평적 계약문화 정착을 위한 우리 청 갑을 용어 정립안 검토 보고
241,아,알림이 서비스,"국방전자조달시스템에서 사용자 PC에 정보알림 프로그램을 설치하여 실행한 사용자를 대상으로 시스템에서 로그아웃하거나 종료한 상태에서도 공지사항, 국내/국외/시설 입찰공고 정보를 사용자 PC 오른쪽 하단에 팝업 메시지로 알려주는 서비스를 말한다. 국방전자조달시스템에 로그인한 후, 메인화면 - 알리미 서비스 신청 메뉴에서 신청할 수 있다.",정보화기획담당관
242,아,업체코드,국방전자조달시스템에서 조달업체의 데이터 관리를 위해 사업자등록번호와는 별도로 개별 조달업체에 대해 시스템 자체적으로 부여하는 코드를 말한다. 업체코드는 숫자 또는 영문자(5자리)로 자동 부여되며 시스템 업무 처리는 업체코드를 기준으로 이루어진다.,정보화기획담당관
243,아,엔지니어링기술,엔지니어링활동에 관한 과학기술을 말한다.,엔지니어링산업 진흥법 제2조
244,아,엔지니어링기술자,엔지니어링기술에 관하여 「국가기술자격법」에 따른 국가기술자격을 취득한 사람 또는 엔지니어링기술 관련 학력이나 경력을 가진 사람을 말한다.,엔지니어링산업 진흥법 제2조
245,아,엔지니어링사업,엔지니어링활동을 수행하는 사업을 말한다.,엔지니어링산업 진흥법 제2조
246,아,엔지니어링사업자,엔지니어링활동을 영업의 수단으로 하려는 자로서 산업통상자원부장관에게 신고한 자를 말한다.,엔지니어링산업 진흥법 제2조
247,아,엔지니어링산업,엔지니어링활동을 통하여 경제적 또는 사회적 부가가치를 창출하는 산업을 말한다.,엔지니어링산업 진흥법 제2조
248,아,엔지니어링활동,"과학기술의 지식을 응용하여 수행하는 사업이나 시설물에 관한 연구, 기획, 타당성 조사, 설계, 분석, 계약, 구매, 조달, 시험, 감리, 시험운전, 평가, 검사, 안전성 검토, 관리, 매뉴얼 작성, 자문, 지도, 유지 또는 보수 등에 대한 사업관리 활동과 견적, 설계의 경제성 및 기능성 검토, 시스템의 분석 및 관리 활동을 말한다.",엔지니어링산업 진흥법 제2조
249,아,역경매,"Reverse Auction. 매각계약에 주로 활용되는 경매방식을 매입계약에 활용하는 것으로 물건 등을 판매하고자 하는 자들이 호가를 낮춰가며 경쟁하도록 하고, 최저가를 제시한 자와 계약을 체결하는 방식으로 국외조달에서 국방전자조달시스템을 통해 1인이 복수의 입찰서를 제출할 수 있도록 하여 경매종료일시까지 제출한 입찰서 중 최저가격의 입찰서 제출자를 낙찰자로 결정할 수 있는 방식을 말한다.","역경매 도입방안 보고, 역경매입찰 특별유의서 제2조"
250,아,역경매입찰,"국방전자조달시스템을 이용하여 행하여지는 역경매 입찰을 말하며, 2012년 9월에 국외조달 분야에서 서비스가 시작되었다.",역경매입찰 특별유의서 제2조
251,아,역경매입찰자,국방전자조달시스템을 이용하여 역경매입찰에 참가하는 국내 · 외 조달업체의 대표자 또는 위임 받아 업무를 처리하는 자를 말한다.,역경매입찰 특별유의서 제2조
252,아,연계,"개별 시스템이 각각 보유하고 있는 데이터를 송수신하여 서로의 데이터를 공유하는 것을 말한다. 국방전자조달시스템 역시 대내외 다수의 시스템과 연계되어 조달청 나라장터로부터 각종 업체정보, 사용자 정보, 인증서 정보, 공사적격심사 정보 등을 수신받고 있으며 시스템에서 처리되는 각종 입찰공고, 입찰결과, 계약정보 등을 나라장터로 송신하고 있다. 따라서 국방전자조달시스템을 사용하려는 조달업체는 나라장터에서 먼저 사용자 등록과 공인인증서 발급 등을 마쳐야 하며 이후 국방전자조달시스템에 등록하여야 한다.",정보화기획담당관
253,아,연기공고,게시된 입찰공고의 마감시간을 변경하여 나가는 입찰공고를 말한다.,정보화기획담당관
254,아,예비판단,"군수품의 효율적인 조달을 위하여 조달계획 확정 이전에 조달가능성, 조달원, 조달기간 등을 사전에 확인하여 미비점을 보완하고, 관련규정에 따라 중앙조달/부대조달, 국내조달/국외조달 등 조달집행 기관과 방법을 확정하는 행위를 말한다.",계약실무편람
255,아,예산,"국회의 의결을 성립요건으로 한 회계연도에 있어서 재정계획을 계수화하여 지출경비와 수입을 대조·안배하고 그 경비의 종류와 금액을 기능별·성질별로 구분하여 조직적으로 편성한 계획표를 말하며, 정기배정예산과 수시배정예산으로 구분한다. 정기배정예산은 회계연도의 4분기별 예산배정계획에 의거 매분기초에 정기적으로 배정되는 예산을 말하며, 수시배정예산은 예산배정 전에 사업집행계획을 수립하여 기획재정부장관과 협의하여야 하는 사업의 예산으로서 기획재정부장관이 선정하여 장관에게 통보하는 예산을 말한다.",국방전력발전업무훈령 별표
256,아,예정가격,"계약담당공무원이 입찰 또는 수의계약에 부치는 때에 낙찰자 또는 계약금액 결정기준으로 삼기 위해 정한 가격으로서, 입찰시에는 복수예비가격 중에서 추첨한 4개의 가격을 산술평균한 가격을 말한다.",계약업무처리훈령
257,아,외자 직구매 계약,"기 조달된 장비·물품(무기체계 포함)등의 정상적인 운영을 위하여 필요한 물품, 부품구매 및 용역에 대해 해외 원제작자 또는 현품보유업체와 직접 계약하는 것을 말한다.",계약업무처리훈령
258,아,용역,"Service. 인간의 노동력이 재화를 이용하여 이루는 무형의 급부를 말한다. 인간이 제공하는 용역에 대해서는 임금을, 자본이 공여하는 용역에 대해서는 이자가, 재화가 공여하는 용역에 대해서는 임차료를 지불하게 된다. 그러나 광의로는 경영활동의 수행상 획득되고 소비되는 경제가치를 말하며, 협의로는 제공되는 노동력이나 또는 운송비나 창고업에서 볼 수 있는 역무를 말하는 경우도 있다.",국방전력발전업무훈령 별표
259,아,용역원가,"방산원가에서 용역원가란 학술적 전문지식, 과학기술, 그 밖의 무형의 서비스를 응용하여 행하는 사업 및 시설물에 관한 연구ㆍ계획ㆍ설계ㆍ분석ㆍ조사ㆍ시험ㆍ감지(感知)ㆍ평가ㆍ자문ㆍ지도 및 교육훈련, 기술적 타당성 검토, 소프트웨어 및 시스템 개발, 기술교범(技術敎範) 작성 등의 용역활동과 관련하여 발생하는 비용을 말한다.",방산원가대상물자의원가계산에관한규칙 제2조
260,아,운송대행업체,방위사업청을 대리하여 방위사업청 계약물자를 보급원(계약업체)에서 인수하여 최종 사업관리부서(기관) 창고까지 운송하는 업체를 말한다.,방위사업관리규정 별표
261,아,원가,"방산원가대상물자를 생산하거나 연구하기 위하여 소비하는 각종 재화와 용역을 화폐가치로 환산한 가액(價額)을 말한다. 다만, 계약목적물의 완성과 관련 없이 소비하는 재화 및 용역과 비정상적인 원인으로 발생하는 경제가치의 감소는 포함하지 아니한다.","방위사업관리규정 별표, 방산원가대상물자의원가계산에관한규칙 제2조"
262,아,원가대상,원가를 부과할 수 있는 단위로서 원가를 분리하여 측정할 필요가 있는 어떤 사업ㆍ부문ㆍ제품ㆍ활동 등을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
263,아,원가심사,"예정가격을 결정하기 전에 원가산정결과에 대하여 원가관련법규의 준수 및 적용의 적법성, 원가산정과정의 타당성 등을 검증하는 활동을 말한다.",방위사업관리규정 별표
264,아,원가절감보상계약,계약을 체결한 후 계약이행기간 중에 새로운 기술 또는 공법의 개발이나 경영합리화 등으로 원가절감이 있는 경우에는 계약금액에서 그 원가절감액을 공제하고 그 원가절감액의 범위 안에서 그에 대한 보상을 하고자 하는 경우에 체결하는 계약,방위사업법 시행령 제61조
265,아,원격지원 서비스,"인터넷상에서 타인이 사용하는 PC의 화면을 외부에서 보거나 직접 조작할 수 있는 서비스를 말한다. 국방전자조달시스템과 같은 인터넷 서비스의 경우 개별 사용자 PC에 대한 직접 방문 점검이 사실상 불가능하기 때문에 이를 보완하기 위해 제공하는 서비스로써 콜센터의 안내에 따라 원격지원 프로그램을 실행하면 정보화기획담당관의 유지보수 인원이 사용자 동의 후 사용자 PC에 접속하여 유선 상으로 점검이 어려운 PC 장애, 오류 부분에 대한 점검을 실시하게 된다. (콜센터 안내 없이 직접 원격지원 서비스를 실행하게 되면 서비스를 받지 못하므로 유의)",정보화기획담당관
266,아,월별집행계획,"중앙조달 전품목에 대하여 품목의 특성, 보급지원의 적시성, 당해년도의 조달환경 등을 종합한 조달 우선순위를 정하여 월별로 집행계획을 수립하는 업무로서 월별집행계획이 확정되면 매년 1월말을 전후하여 국방전자조달시스템을 통해 조달업체에게 집행계획이 공개된다. (국방전자조달시스템 - 국내조달 - 조달계획 메뉴 참조)",계약실무편람
267,아,유인부원가정산계약,"계약을 체결하는 때에 계약금액을 확정할 수 없으나 계약상대자에 대하여 수입품의 국산화대체 및 원가절감활동이 요구되어 원가는 계약이행 후 실제발생원가대로 지급하고, 이윤은 목표이익과 유인이익을 합하여 지급하고자 하는 경우에 체결하는 계약",방위사업법 시행령 제61조
268,아,유인부확정계약,"계약을 체결하는 때에 예정가격을 결정할 수 있으나 계약의 성질상 유인이익에 의하여 원가절감을 기대할 수 있는 때에는 지급 가능한 최고한도의 계약금액과 목표원가 및 목표이익을 정하여 계약을 체결하고, 계약을 이행한 후에 실제발생원가와 목표이익 및 유인이익을 합하여 계약대금을 지급하고자 하는 경우에 체결하는 계약",방위사업법 시행령 제61조
269,아,유인이익,유인부계약을 체결하는 경우에 목표원가에서 유인부적용대상 비목등의 실제발생원가를 뺀 금액에 분담비율을 곱하여 산출된 금액을 말한다.,방위산업계약사무처리규칙 제2조
270,아,유자격자명부,특정조달계약에 있어서 물품·공사 및 용역의 입찰에 참가할 수 있는 자격을 미리 정한 후 그 자격을 갖춘 자를 기재한 명부를 말한다.,특정조달특례규정 제2조
271,아,유지보수기관,"개발된 정보체계의 일부 기능변경이나 사용방법의 개선 등을 수행하기 위한 계획수립, 예산획득, 실적관리 등의 임무를 수행하는 기관을 말하며 국방전자조달시스템은 방위사업청 재정정보화기획관 정보화기획담당관에서 유지보수를 수행하고 있다.",국방전력발전업무훈령 별표
272,아,유찰,"입찰참여자들의 투찰금액을 개찰하였음에도 예정가격초과, 낙찰하한가 미달, 투찰자 없음, 미성원(1인 투찰) 등의 사유로 적합한 낙찰자가 없는 경우를 말한다. 유찰된 입찰공고는 관련법령에 따라 재공고 등 후속조치를 취하게 된다. 국방전자조달시스템에서는 유찰 수의의 경우 업체 투찰가격이 공개되는 것을 막기 위해 비공개 처리한다.",유찰된 투찰가격 비공개 시스템 반영(알림)
273,아,이용자,전자문서의 교환 등 시스템의 이용을 위해 「국방전자조달시스템 이용에 관한 약관」에 따라 지정공인인증기관으로부터 발급받은 인증서를 이용하여 독립된 1인의 업무단위(전자문서사용자ID)로 등록한 업무담당자를 말한다.,국방전자조달시스템 전자계약 사무처리지침 제2조
274,아,이월,"예산의 이월은 세출예산 중 연도내 미지출액을 당해연도를 넘겨 다음연도에 지출하는 것을 말하며 국가재정법의 ""회계연도 독립의 원칙""의 예외조항으로 운영된다.",조달관리 실무과정
275,아,이윤율,"방산원가에서 이윤율은 이윤의 계산에 필요한 기본보상율, 기술위험보상율, 계약위험보상율, 계약수행노력보상율, 원가절감노력보상율, 설비투자노력보상율, 경영노력보상율 등을 말한다.",방산원가시행세칙 제2조
276,아,이행보증금,P-Bond(Performance Bond). 계약의 이행을 확보하기 위한 물적 담보로서 계약불이행의 경우에 국가가 입은 손해의 배상을 용이하게 하려는 목적으로 계약 상대방으로부터 일정한 금액을 징수하는 손해배상에 대한 예정액의 성격을 갖는다.,국방전력발전업무훈령 별표
277,아,인증공급자명부,물품등의 유형별로 입찰에 참가할 수 있는 자격을 미리 정한 후 그 자격을 갖춘 자중 입찰참가가 가능한 자를 기록한 명부를 말한다.,특정물품조달특례규정 제2조
278,아,인지세,국내에서 재산에 관한 권리 등의 창설·이전 또는 변경에 관한 계약서나 이를 증명하는 그 밖의 문서를 작성할 때 납부하는 세금을 말한다. 법 개정에 따라 2011년 1월부터 전자계약문서도 인지세 부과 대상에 포함됨에 따라 국방전자조달시스템 전자계약 시 인지세 확인 및 관리 기능이 추가되었다.,인지세법 제1조
279,아,일괄계약,"계약의 주체인 국가는 주장비 체계조립업체와 모든 무기체계를 묶어서 계약을 체결하고, 주 계약업체는 구성품에 대해서는 업체 책임 하에 하도급으로 사급계약을 체결하는 계약형태를 말한다.","일괄,분리계약"
280,아,일괄입찰,정부가 제시하는 공사일괄입찰기본계획 및 지침에 따라 입찰시에 그 공사의 설계서 기타 시공에 필요한 도면 및 서류를 작성하여 입찰서와 함께 제출하는 설계·시공일괄입찰을 말한다.,국계법 시행령 제79조
281,아,일반개산계약,계약을 체결하는 때에 계약금액을 확정할 수 있는 원가자료가 없어 계약금액을 계약이행 후에 확정하고자 하는 경우에 체결하는 계약을 말한다.,방위사업법 시행령 제61조
282,아,일반대형공사,공사비가 계속비예산으로 계상되지 아니한 대형공사를 말한다.,국계법 시행령 제79조
