,입찰명,발주기관,낙찰자(상호)
70382,K계열전차 부품류,지상공통전력운영계약팀,우창기계 주식회사
70383,"24년 특수무기 볼트, 너트류",해상공중전력운영계약팀,대명 ENG
70388,K계열전차 부품류,지상공통전력운영계약팀,에이테크솔루션(주)
70424,RF장비 제작용 부품ㆍ자재 구매(증폭IC 등 81종),제3707부대,용인컴퓨터편의점
70462,"전차, 차량 부품류(제조)",지상공통전력운영계약팀,주식회사덕인
70488,24년 특수무기 케이블조립체류,해상공중전력운영계약팀,연합정밀(주)
70489,장갑차 부품류(사전의향서),지상공통전력운영계약팀,디씨에이치(주)
70660,"베어링, 볼형 등 19항목 구매(기동-구매-020)",육군군수사령부,주식회사 에코비투
70788,"24년 발전기 유지부품(5KW,700W)(구매)",해상공중전력운영계약팀,주식회사 종금
70792,"부품킷트,고저 실린더용 등 2항목 구매(자주포)",육군군수사령부,케이에스이엔지주식회사
70796,"부품키트,서보장치조립체,선회용(구매)",지상공통전력운영계약팀,시앤에스테크
70944,24년 광학장비부품류(지명),지상공통전력운영계약팀,(주)우경광학
70948,자주포 일반부품류,지상공통전력운영계약팀,주식회사덕인
71000,K9자주포케이블조립체및스위치구매,육군종합정비창,주식회사 씨앤티솔루션
71018,궤도장비 부품류(장갑차용),지상공통전력운영계약팀,주식회사덕인
71053,지상감시레이더 부품(구매),해상공중전력운영계약팀,(주)소닉컴텍
71056,K계열 궤도장비 부품류,지상공통전력운영계약팀,주식회사덕인
71061,공기조화기 필터 제조 납품,제3707부대,고려정공 주식회사
71125,시스템 스톱워치 구매,해군교육사령부,제이제이
71151,(긴급)엘리베이터 가스켓 등 16종,해군군수사령부,정수프라자
71160,'24년 정수장비 부품(구매),지상공통전력운영계약팀,주식회사 경원이엔지
71182,24년 케이블조립체류(통신장비용)(제조),해상공중전력운영계약팀,연합정밀(주)
71184,[무장장착장비 부품]밸브조립체 등 10종,공군군수사령부,원욱
71213,도관 조립체 등 72항목 구매(자주포),육군군수사령부,주윤테크
71235,K계열전차 부품류,지상공통전력운영계약팀,(주)세원시스템
71363,의무장비(HeartSine Smaritan 패드/배터리) 구매,제7001부대,효성메디
71395,105밀리 곡사포 성능개량사업 관급(크레인),제1보병사단,진성기계주식회사
71519,K1전차 베어링 등 12종 구매,육군종합정비창,주안산업
71520,K1전차 베어링 등 3종 구매,육군종합정비창,삼강운수
71524,장갑차 현수장치 부품(구매),지상공통전력운영계약팀,디씨에이치(주)
71527,장갑차 현수장치 부품(구매),지상공통전력운영계약팀,디씨에이치(주)
71567,"[패트리어트 시스템프레임 부품]판,균형기용 등 89종",공군군수사령부,주식회사 브이엘디인터내셔널코리아
71590,증압기조립체 등 3항목 구매(자주포),육군군수사령부,(주)세호
71594,패킹 너트 등 17항목 제조(자주포),육군군수사령부,동창원산업(주)
71708,"판조립체, 덮개용(K1전차)",지상공통전력운영계약팀,혁신산업
71785,00부대 공기조화기 필터 제조설치 납품,국군제1068부대,고려정공 주식회사
71833,K9자주포 나사등20종 구매,육군종합정비창,코비상사
71836,K9자주포 베어링등17종 구매,육군종합정비창,현대정밀가스켓
71838,"K9자주포 나사,기계용등10종 구매",육군종합정비창,주안산업
71839,K9자주포 호스조립체등3종 구매,육군종합정비창,현대정밀가스켓
71898,"덮개조립체,포탑용 등 12항목 구매(항공)",육군군수사령부,부림산업
71923,장갑차 부품(어댑터류),지상공통전력운영계약팀,예지정밀
71942,항정단 감시정찰체계대대 마우스패드 등 53종,공군작사근무지원단,푸른송
71958,"(기동) 축,차축용,자동차용 등 2종 구매",육군종합정비창,금성특수산업
71962,K계열 기동궤도부품류,지상공통전력운영계약팀,디씨에이치(주)
71976,[24-육-101] 기여공약 이행을 위한 금속탐지장비 구매,육군본부,지후
72034,'24년 지뢰탐지기 부품(구매),지상공통전력운영계약팀,주식회사 와이어블(Wiable Corp.)
72035,'24년 지뢰탐지기 부품(제조),지상공통전력운영계약팀,주식회사 와이어블(Wiable Corp.)
72038,장갑차 부품,지상공통전력운영계약팀,우창기계 주식회사
72039,장갑차 부품(축 및 기어류),지상공통전력운영계약팀,우창기계 주식회사
72112,"'24년 발전기 케이블 조립체, 전력용",지상공통전력운영계약팀,동양기전
72137,24년 특수무기 베어링류(제조),해상공중전력운영계약팀,혁신산업
72245,장갑차 부품(힌지 등),지상공통전력운영계약팀,지비아이 코리아 (GBI KOREA)
72252,K계열전차 포신 부품류(제조),지상공통전력운영계약팀,삼호정밀
72274,"장갑차 부품류(어댑터, 클램프 등)",지상공통전력운영계약팀,환호테크
72297,81mm 박격포 부품류,지상공통전력운영계약팀,우창기계 주식회사
