0,대분류,중분류,소분류
다목적전술차 케이블등2종구매,전력·전기전자,조명/전선,LED·전선
5톤 나사등18종구매,기타,기타,기타
5톤유압크레인 호스조립체등2종구매,기타,기타,기타
5톤유압크레인 호스조립체등2종구매,기타,기타,기타
M48전차 플랜지구매,건설·시설,자재/철물,자재·철물
16년 발칸 증폭기조립체 정비,기타,기타,기타
16년 발칸 증폭기조립체 정비,기타,기타,기타
16년 발칸 증폭기조립체 정비,기타,기타,기타
K55A1자주포 호스조립체등8종구매,기타,기타,기타
5톤 브래킷 구매,기타,기타,기타
K288장갑차 로프등11종구매,의료·의약·위생,의료장비/소모,의료장비·키트
화강석(성곽석) 385㎡ 제조,기타,기타,기타
일반의약품 366종 구매,의료·의약·위생,의료장비/소모,의료장비·키트
영내관사 보일러 및 분배기 구매/설치,공구·설비,공조/펌프,공조·펌프
수직천공기 2EA,기타,기타,기타
바나나맛 우유,기타,기타,기타
UPS(무정전전원장치)제조 설치,전력·전기전자,발전기/전원,발전기·UPS·충전
계룡대 비상용발전기 제조설치 납품,전력·전기전자,발전기/전원,발전기·UPS·충전
연료유 승압유지밸브,차량·기동,연료/윤활,연료·윤활유
K1개스킷등33종구매,기타,기타,기타
K1개스킷등33종구매,기타,기타,기타
K1와셔등84종구매,기타,기타,기타
2016년 합동임관식 기념품(호부) 제조,기타,기타,기타
임시명찰 등 2품목 제조 구매,기타,기타,기타
엔진브로와 구매,기타,기타,기타
16년 의료용 산소 구매,의료·의약·위생,의료장비/소모,의료장비·키트
즉석순대(용기),기타,기타,기타
즉석순대(용기),기타,기타,기타
웰부트린 엑스엘 정 등 122품목,기타,기타,기타
쇄석골재 등 3종 구매,기타,기타,기타
체력단련장 유류 (휘발유  경유) 구매,차량·기동,연료/윤활,연료·윤활유
제빙기 구매 설치,급식·식품,주방/급식장비,주방·급식장비
가지 등 279종 구매(흑산도 000운용대),기타,기타,기타
가지 등 279종 구매(흑산도 000전진기지대),기타,기타,기타
가지 등 306종 구매(욕지도 000전진기지대),기타,기타,기타
가지 등 306종 구매(욕지도 000감시대),기타,기타,기타
피자빵,급식·식품,식자재,식자재
스낵류,기타,기타,기타
샌드형 쿠키,기타,기타,기타
미니약과,기타,기타,기타
00부대 음식물류폐기물 처리용역,기타,기타,기타
16-D-021-철재 장의자 등 5종 제조 납품,피복·생활·사무,가구/집기,사무가구·집기
16-D-022 회전의자 등 6종 제조 납품,피복·생활·사무,가구/집기,사무가구·집기
컵스프,기타,기타,기타
초코맛 쿠키,기타,기타,기타
초코바,기타,기타,기타
파이형 쿠키,기타,기타,기타
00부대(6진) 민사반 물품 구매(2차),기타,기타,기타
덴탈 마스크 50개 등 43품목(물품),의료·의약·위생,의료장비/소모,의료장비·키트
오니푸랄 주사 등 11품목(물품),기타,기타,기타
오니푸랄 주사 등 11품목(물품),기타,기타,기타
교과서 163종 구매,기타,기타,기타
