word,freq,대분류,중분류,소분류
건강검진,106,기타,기타,기타
탑재,106,기타,기타,기타
체류,106,기타,기타,기타
보안,106,기타,기타,기타
가방,105,기타,기타,기타
출입통제,105,IT·통신,CCTV/보안,영상감시
작업,105,기타,기타,기타
로드,104,기타,기타,기타
국내,104,기타,기타,기타
여단,104,기타,기타,기타
조종,104,기타,기타,기타
대학교,103,기타,기타,기타
주거,103,기타,기타,기타
약품,103,기타,기타,기타
입력,103,기타,기타,기타
정신,103,기타,기타,기타
완제,102,기타,기타,기타
파일,102,피복·생활·사무,사무/문서,문구/사무기기
우유,102,기타,기타,기타
수용,102,기타,기타,기타
신체검사,102,기타,기타,기타
주파수,101,기타,기타,기타
병사,101,기타,기타,기타
보강,101,기타,기타,기타
위장,101,기타,기타,기타
방탄,101,기타,기타,기타
훈제,101,기타,기타,기타
군단,101,기타,기타,기타
전원,101,기타,기타,기타
깍두기,100,기타,기타,기타
대전,100,기타,기타,기타
모터,100,기타,기타,기타
복합,99,기타,기타,기타
신호,99,기타,기타,기타
화기,99,기타,기타,기타
자식,98,기타,기타,기타
제독,98,기타,기타,기타
콘텐츠,98,건설·시설,안전/현장,현장안전/표지
진공,98,기타,기타,기타
가구,98,기타,기타,기타
하다,97,기타,기타,기타
라이스,97,기타,기타,기타
동기,97,기타,기타,기타
모델링,97,기타,기타,기타
선행,97,기타,기타,기타
작동,97,기타,기타,기타
미래,97,기타,기타,기타
영향,96,기타,기타,기타
신형,96,기타,기타,기타
패드,96,차량·기동,차량/정비,차량부품/소모품
운반,96,기타,기타,기타
상자,96,기타,기타,기타
중대,96,기타,기타,기타
결기,96,기타,기타,기타
슬리브,96,기타,기타,기타
예비,96,기타,기타,기타
비호,95,기타,기타,기타
자산,95,기타,기타,기타
충전기,95,전력·전기전자,발전/저장,발전기/배터리
교전,95,기타,기타,기타
디젤,95,차량·기동,연료/윤활,연료/윤활유
천막,95,기타,기타,기타
국제,94,기타,기타,기타
방공,94,기타,기타,기타
과일,94,기타,기타,기타
보다,94,기타,기타,기타
복사,93,기타,기타,기타
조각,93,기타,기타,기타
다기,93,기타,기타,기타
소음,93,기타,기타,기타
케이크,93,기타,기타,기타
배다,92,기타,기타,기타
디스플레이,92,기타,기타,기타
엘리,91,기타,기타,기타
음향,91,기타,기타,기타
테이프,91,기타,기타,기타
소시지,91,기타,기타,기타
생수,91,급식·식품,가공/식자재,식자재
모니터,91,IT·통신,PC/주변기기,PC/노트북
압축,90,기타,기타,기타
작업대,90,기타,기타,기타
안경,90,기타,기타,기타
재고,90,기타,기타,기타
박격포,90,기타,기타,기타
카트,90,기타,기타,기타
활용,90,기타,기타,기타
