입찰공고번호,입찰공고차수,입찰공고명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
SCF0346,1,안테나 8EA,총액계약,제한경쟁,최저가격제,N,해군군수사령부,ZD00289,해군군수사령부,ZD00289,0.0,47068118.0,48000000.0,0.0,2017-05-19,10:30:00,개찰완료,42800000.0,90.932,2017-05-19,(주) 자은,이채규,이상준,605-81-42478,부산광역시 동구 초량중로39-0 (초량동)
SCR0058,1,에어컨 등 17종 구매,총액계약,제한경쟁,최저가격제,N,해군제3함대사령부,ZD00155,해군제3함대사령부,ZD00155,0.0,36296320.0,37000000.0,0.0,2017-05-18,11:00:00,개찰완료,32670000.0,90.009,2017-05-18,(유)목포신도digitalOA,김기홍,김기홍,411-81-28828,전라남도 목포시 삼학로 282()
HCM0035,1,공군교육사령부 장교/간부식당 김치류 구매,총액계약,제한경쟁,적격심사제,Y,공군교육사령부,ZD00172,공군교육사령부,ZD00172,87.995,46665050.0,47339800.0,0.0,2017-05-19,10:30:00,개찰완료,41445995.0,88.815,2017-05-19,남경식품(참그린김치),김영애,김영애,609-21-46792,경상남도 창원시 의창구 북면 월계길 29()
UMM0275,2,도청방지  전파차단시스템 구매 설치,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,74955988.0,76450000.0,0.0,2017-05-26,11:00:00,개찰완료,66329000.0,88.49,2017-05-26,주식회사 신안정보통신,주을목,송한용,138-81-14337,경기도 군포시 당산로152 (금정동)
EHA0056,2,진단키트 생물학무기용,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,166221000.0,0.0,2017-06-27,10:30:00,유찰,,,,,,,,
EHD0088,1,요대류,총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,172058581.0,172873000.0,0.0,2017-06-28,12:00:00,개찰완료,154120000.0,89.574,2017-06-28,동우산업사,허성행,김명순,606-14-62422,부산광역시 해운대구 반송로859 A동 3층 301호(반송동)
HDP0022,1,39전대 레이돔 납품설치,총액계약,제한경쟁,적격심사제,Y,공군제19전투비행단,ZD00189,공군제19전투비행단,ZD00189,82.995,502107802.0,502902900.0,0.0,2017-05-24,13:30:00,개찰완료,426000000.0,84.842,2017-05-24,주식회사 한국화이바,이진광,조윤근,615-81-02018,경상남도 밀양시 부북면 춘화로 85()
UMM0290,1,콘크리트파일 제조(00정비대대 창고),총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,131752667.0,132721050.0,0.0,2017-05-23,11:00:00,개찰완료,116805480.0,88.655,2017-05-23,주식회사 명주파일,최형규,이성우,137-86-29297,"경기도 김포시 삼도공단로39-0, 2층 (양촌읍)"
UMM0291,1,콘크리트파일 제조(00보급대대 창고),총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,149238349.0,151004590.0,0.0,2017-05-23,11:00:00,개찰완료,131672860.0,88.229,2017-05-23,유정산업(주),최진용,백연옥,126-81-03986,경기도 여주시 금사면 이여로1195-0
LDH0386,1,물류이동장비(전동화물운반차 1대) 구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,20151846.0,20381000.0,0.0,2017-06-01,11:30:00,개찰완료,17738000.0,88.021,2017-06-01,주식회사 복은,김령은,김령은,616-86-28355,"경상남도 창원시 진해구 용원북로17번길15-0 (용원동, 가온빌 101호)"
EHA0108,2,트럭 정비용(1 1/4톤 통신가설차  K31A1),총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,1856904000.0,0.0,2017-08-08,15:00:00,유찰,,,,,,,,
SCF0354,1,증류수생산기 1EA,총액계약,제한경쟁,최저가격제,N,해군군수사령부,ZD00289,해군군수사령부,ZD00289,0.0,,14820000.0,0.0,2017-05-25,10:30:00,유찰,,,,,,,,
SCF0354,2,증류수생산기 1EA,총액계약,제한경쟁,최저가격제,N,해군군수사령부,ZD00289,해군군수사령부,ZD00289,0.0,,14820000.0,0.0,2017-05-31,10:30:00,유찰,,,,,,,,
SCF0353,1,유류증류기 1EA,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,,40800000.0,0.0,2017-05-25,10:30:00,유찰,,,,,,,,
SCF0353,2,유류증류기 1EA,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,40248940.0,40800000.0,0.0,2017-05-31,10:30:00,개찰완료,35469485.0,88.125,2017-05-31,태성상사,안도성,안도성,105-03-46471,"서울특별시 마포구 잔다리로7안길 22, 태성빌딩 4층(서교동)"
