,입찰명,발주기관,낙찰자(상호)
70457,24년 위험물취급자 안전장구류(제전복 등 5종) 구매,5군수지원사령부,연결고리
70500,24년 병영도서관 및 독서카페 도서 구매,제1보병사단,경기상사
70515,24-N-음식물분쇄기 13대 구매,국군재정관리단,신흥리테일
70564,(24육군-해파40)한빛부대 24-2차 급식류 구매,종합보급창,더존식품
70605,(24-물품-72) 24년 병영도서관 독서카페 도서 구매,제11기동사단,주식회사 한성정보시스템
70658,"(긴급)리셉터클,육전 연결용 등 2종",해군군수사령부,세종상사
70687,생도증식(숙주나물 등 141종) 구매,자운대근무지원연대,다해푸드
70752,'24년 전반기 병영도서관 및 독서카페 도서 구매,육군항공사령부,엔플
70793,자주포 스프링류,지상공통전력운영계약팀,삼영산업
70826,우엉조림 구매,해군군수사령부,행복유통
70827,체다 슬라이스치즈 구매,해군군수사령부,키즈앤하우스
70828,깐메추리알 구매,해군군수사령부,류홀마트(합포점)
70829,돼지등갈비(냉동) 구매,해군군수사령부,행복유통
70831,뼈발골닭다리정육 구매,해군군수사령부,지(g)-마트
70902,육전케이블 등 2종 구매,해군군수사령부,연합정밀(주)
70903,24년 3분기 부대계약부식(빵류) 제조/구매,5군수지원사령부,보배푸드
70904,24년 부대계약 후식(바나나) 구매,5군수지원사령부,태민
71070,자율운영급식(대패삼겹살 등 118종) 구매,자운대근무지원연대,선진유통
71136,부식 방지제 등 31종 구매,해군군수사령부,에코플루이드
71176,(24-급-030) '24-2차 부대계약 식자재(빵류) 계약,제7군수지원단,푸디스트 주식회사
71202,[[24-C43] 24년 7여단 KCTC 훈련 급식품목 간편식,제6보병사단,주식회사 에스티엑스에프앤씨
71203,24년 7~9월 부대조달 급식품목(식육가공품) 구매,제1989부대,해찬푸드
71251,스프링노트 등 73종 구매,제9121부대,마린머티리얼즈
71286,24년 후보생 기초훈련장병증식(생수) 구매,육군학생군사학교,드림메디랩
71298,24년 3분기 부대계약부식(식자재) 구매,5군수지원사령부,주식회사 대선에프에스
71330,24-6차 주부후식(간편식 구매) 전투식량 구매,국제평화지원단,(주)씨티원서비스
71348,24-3차 빵류 다수품목 단가계약(구매),제1군수지원사령부,이엠미트
71349,24-3차 면류 다수품목 단가계약(구매),제1군수지원사령부,(주)아워홈 동서울영업소
71356,정맥주사 세트(50S) 등 4항목 구매(의무),육군군수사령부,유한회사 엔디클릭
71388,양념분쇄기 등 3종 구매,해군군수사령부,강원상사
71397,24년 7~9월 부대조달 급식품목(빵류) 제조납품,제1989부대,무민
71398,‘24-3차 부대계약 식자재 납품(식육가공품류),제3군수지원여단,주식회사 대산식품
71399,‘24-3차 부대계약 식자재 납품(빵류),제3군수지원여단,씨제이프레시웨이 주식회사
71400,'24년 7~9월 부대계약 부식 구매(일반품목),육군교육사령부,주식회사 제이에프
71403,‘24년 7~9월 부대조달 부식(돈가스 8품목) 제조/구매,제 2167부대,(주)진푸드시스템
