0,1,2,3,4,5,6,7,8,9,10
물류,취급,물자,파레트,구매,,,,,,
공병,병영,생활관,개수,창호,제조,납품,,,,
공병,생활관,개수,진공,온수,보일러,제조,설치,납품,,
부대,간부,숙소,신축,가스,보일러,제조,설치,납품,,
관사,독신,숙소,등기,구매,,,,,,
냉장,냉동,창고,제조,설치,,,,,,
국외,잡지,구매,,,,,,,,
일반의약품,구매,,,,,,,,,
전산,운영,예산,토너,,,,,,,
향나무,,,,,,,,,,
통신,시설,자재,구매,케이블,,,,,,
대형,전광판,제조,설치,,,,,,,
액화,석유,가스,인천,강화,,,,,,
액화,석유,가스,소형,저장,탱크,,,,,
액화,석유,가스,김포,,,,,,,
물류,창고,조명기구,구매,,,,,,,
스모크,구매,,,,,,,,,
갓김치,제조,납품,,,,,,,,
두부,구매,,,,,,,,,
멸균,초코우유,구매,,,,,,,,
갈비,구매,,,,,,,,,
갈비,구매,,,,,,,,,
갈비,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
사이다,구매,,,,,,,,,
의약품,리델,크림,구매,,,,,,,
스킨,코튼,플러스,구매,,,,,,,
통신,시설,자재,구매,케이블,,,,,,
윤형,철조망,설치,자재,구매,,,,,,
상용,차량,후방,카메라,구매,,,,,,
시설,사업,자재,크레인,설치,납품,,,,,
시설,사업,자재,보일러,설치,납품,,,,,
전산,운용,소모품,납품,,,,,,,
중형,굴삭기,부품,크라샤,,,,,,,
탄약고,설치,납품,,,,,,,,
부대,구매,상병,건강검진,시약,,,,,,
부대,응급처치,물자,구매,,,,,,,
재생,토너,구매,,,,,,,,
의약품,구매,,,,,,,,,
가폰,이동용,앰프,구매,,,,,,,
중형,굴삭기,습지,트랙,구매,,,,,,
화면,전시,체계,보강,자재,구매,,,,,
물자,취급,장비,구매,,,,,,,
동계,대비,보온,구매,,,,,,,
부대,도서,구매,,,,,,,,
전산,운영,용품,구매,,,,,,,
자운대,지역,교환,교체,사업,통합,리스,,,,
확인,지뢰,지대,안내,경고,간판,제작,,,,
조달,수리,요구,전대,배터리,,,,,,
모니터,보호,필름,,,,,,,,
수목,쥐똥나무,구매,,,,,,,,
토사,품목,,,,,,,,,
복사,용지,,,,,,,,,
야외,벤치,테이블,,,,,,,,
테이,물품,구매,,,,,,,,
정보,통신,전산,운용,용품,구매,,,,,
포스트잇,팝업,,,,,,,,,
교보,제작비,무릎,팔꿈치,보호대,세트,태권도,매트,,,
무대,장치,대대,통합,건물,신축,,,,,
통합,배선,대대,통합,건물,신축,,,,,
전자,신호,,,,,,,,,
라미,,,,,,,,,,
전산,운용,용품,구매,,,,,,,
탁구,구매,,,,,,,,,
전투,지휘,훈련,사무,비품,구매,,,,,
발전기,,,,,,,,,,
물류,창고,관리,물품,구매,테이,,,,,
부대,의약품,의료,기재,구매,,,,,,
후반기,전산,용품,구매,,,,,,,
원판,정리,,,,,,,,,
퇴비,품목,,,,,,,,,
교도소,침대,생산,자재,목재,제조,납품,,,,
단화,,,,,,,,,,
선체,하우스,청락,도장,용역,,,,,,
조달,레이더,냉각,체계,수리,부속,,,,,
파이프,구매,,,,,,,,,
상용,유지,보수,물품,구매,,,,,,
지역,차량,후방,카메라,설치,납품,,,,,
부대,장간,조립,자재,제조,납품,,,,,
부대,풋살,경기장,인조잔디,설치,납품,,,,,
부대,취사,피복,구매,취사,,,,,,
자동화,사격,장비,제조,설치,,,,,,
선박,보조,연료,탱크,제조,설치,,,,,
가공,제작,구매,,,,,,,,
국방,컨벤션,웨딩,꽃장식,부케,설치,납품,,,,
임실,굴삭기,수리,부속,구매,,,,,,
교육,재료,복사,용지,구매,,,,,,
노트패드,,,,,,,,,,
복사,용지,구매,,,,,,,,
시멘트,구매,,,,,,,,,
상용,샌드박스,서버,구매,,,,,,,
국방,정보보호,교육,지원,물품,구매,,,,,
국방,정보보호,교재,도서,구매,,,,,,
입시,홍보,물품,볼펜,구매,,,,,,
고속,단기,,,,,,,,,
관용,탄소강,광등,품목,구매,,,,,,
포트,장갑,,,,,,,,,
지뢰,보호,보호,헬멧,제조,구매,,,,,
확인,지뢰,지대,통제,간판,제조,구매,,,,
화면,전시,체계,보강,사업,설치,납품,,,,
복사,용지,박스,,,,,,,,
안전모,,,,,,,,,,
토너,,,,,,,,,,
전투,지휘,훈련,브리핑,장비,설치,납품,긴급,공고,,
자재,화강석,제조,,,,,,,,
작업,,,,,,,,,,
밸브,,,,,,,,,,
관사,보일러,구매,설치,,,,,,,
친환경,합성,목재,데크,구매,납품,,,,,
경석,현무암,부정,판석,구매,납품,,,,,
스텐,옥외,보안등,구매,,,,,,,
투광,구매,,,,,,,,,
부대,간부,숙소,신축,자재,콘크리트,파일,제조,,,
인쇄,재료,구매,,,,,,,,
부대,간부,숙소,신축,자재,콘크리트,파일,제조,,,
원격교육,체계,구축,사업,통합,리스,,,,,
고속,고무,보트,제조,납품,,,,,,
인쇄,재료,구매,,,,,,,,
예복,허리,휘장,구매,,,,,,,
강릉,원주,지역,부대,표준,파렛트,구매,,,,
춘천,인제,지역,부대,표준,파렛트,구매,,,,
원형,,,,,,,,,,
전시관,내부,제작,설치,,,,,,,
격납고,크레인,제조,설치,,,,,,,
산업,장갑,구매,,,,,,,,
디지털,포렌식,용량,스토리,서버,구매,,,,,
공기조화기,압축기,모터,정비,,,,,,,
강습,대대,발진,기지,토목,자재,구입,,,,
공병,중형,굴삭기,크레샤,수리,부속,구매,,,,
부대,관사,신축,사업,승강기,제조,설치,,,,
전산,운영,용품,구매,,,,,,,
고무,보트,제조,납품,,,,,,,
부대,후반기,전산,운영,용품,구매,,,,,
상용,차량,타이어,구매,,,,,,,
지역,장비,구매,,,,,,,,
장간,조립,목재,수리,부속,제조,납품,,,,
제본,표지,,,,,,,,,
니퍼,,,,,,,,,,
노트패드,,,,,,,,,,
메모,보드,,,,,,,,,
복사,용지,구매,,,,,,,,
야채,참치,통조림,구매,,,,,,,
오늘,해병대,코너,제작,설치,,,,,,
야채,참치,통조림,구매,,,,,,,
프로젝터,구매,,,,,,,,,
생도,견장,학년,제조,구매,,,,,,
센서,촉각,응용,,,,,,,,
어린이집,교구,교재,놀이,매트,구매,,,,,
어린이집,교재,교구,구매,공용,세용,,,,,
도서,국내,구매,,,,,,,,
아파트,오토,설치,,,,,,,,
패킹,재료,항목,제조,궤도,,,,,,
의약품,구매,,,,,,,,,
의약품,구매,,,,,,,,,
부대,심정,모터,펌프,교체,자재,구매,,,,
아파트,태양광,발전,장치,제조,설치,,,,,
어린이집,도서,구매,,,,,,,,
통신,센터,자재,열교환기,제조,구매,설치,포함,,,
부대,케이블,자재,구매,,,,,,,
부대,간부,숙소,합성수지,제창,제조,설치,,,,
수도,병원,의무,비품,구매,,,,,,
소화,기함,제조,,,,,,,,
사업,조명기구,제조,,,,,,,,
격정,비지,체계,구축,사업,리스,,,,,
부대,관사,신축,사업,통합,선반,제조,설치,,,
부대,관사,신축,사업,합성수지,창호,제조,,,,
인쇄,재료,구매,,,,,,,,
차량,비용,수리,부속,타이어,밧데리,구매,,,,
차량,비용,수리,부속,버스,트럭,구매,,,,
차량,비용,수리,부속,승용차,현대,구매,,,,
정보,자원,증설,사업,구매,,,,,,
지역,재산,모노레일,보수,설치,납품,,,,,
지역,연천,송풍기,구매,,,,,,,
창고,중량,저장,제조,설치,납품,,,,,
지뢰,방호,차량,소모품,구매,,,,,,
전산,운영,용품,구매,,,,,,,
방사선,측정기,구매,,,,,,,,
대대,노후,감시,장비,교체,설치,납품,,,,
화장,품목,구매,,,,,,,,
어린이집,교재,교구,구매,세용,,,,,,
공병,장비,크라샤,구매,,,,,,,
이동,도서관,도서,구매,,,,,,,
코팅,,,,,,,,,,
작업,장갑,,,,,,,,,
당구대,,,,,,,,,,
멀티,크리,,,,,,,,,
생화학,석기,기약,,,,,,,,
부대,인조잔디,설치,납품,,,,,,,
총기,이동식,거치,,,,,,,,
도서,구매,,,,,,,,,
부대,훈련,보일러,제조,설치,납품,,,,,
부대,훈련,저장,탱크,제조,설치,납품,,,,
부대,녹음,전화기,구매,,,,,,,
의무,장비,운영,소모품,구매,,,,,,
문서,보존상자,,,,,,,,,
의약품,상병,시약,구매,,,,,,,
복사,용지,,,,,,,,,
양면,테이프,,,,,,,,,
아파트,디자인,울타리,제조,설치,,,,,,
중형,굴삭기,자동,크러셔,설치,납품,,,,,
시그마,매트,,,,,,,,,
부대,울타리,철조망,자재,납품,,,,,,
엔진,양수기,,,,,,,,,
센서,촉각,응용,,,,,,,,
핸드,파렛트,트럭,,,,,,,,
장갑,,,,,,,,,,
배터리,구매,,,,,,,,,
장선,구매,,,,,,,,,
정보보호,체계,구매,설치,,,,,,,
열대,구매,제조,,,,,,,,
일반의약품,구매,,,,,,,,,
매립,콘센트,구매,,,,,,,,
재경,습관,전자제품,구매,설치,,,,,,
광망,제설,송풍기,구매,,,,,,,
대대,지휘,통제,화면,전시,체계,보강,사업,,,
어린이집,전자제품,구매,청소기,,,,,,,
부대,난방,시설,설치,납품,,,,,,
부대,보온,구매,,,,,,,,
부대,동계,물품,구매,,,,,,,
전산,운영,용품,구매,,,,,,,
정보,체계,용품,구매,,,,,,,
전산,운영,용품,구매,,,,,,,
앵글,품목,,,,,,,,,
제설,송풍기,구매,,,,,,,,
지역,연천,테이,구매,,,,,,,
영업,배상,보험,캐디,보험,,,,,,
노면,표지,용도,품목,,,,,,,
시설,자재,럭비,차양,구매,,,,,,
구매,,,,,,,,,,
고속,고무,보트,인승,제조,,,,,,
리드,립체,기용,구매,,,,,,,
상패,보관,구매,,,,,,,,
문서,보존상자,,,,,,,,,
복사,용지,,,,,,,,,
복사,용지,구매,,,,,,,,
칸막이,진열,제작,납품,,,,,,,
일반의약품,구매,,,,,,,,,
발전기,품목,구매,,,,,,,,
영내,태양광,가로등,구매,,,,,,,
전산,용품,구매,,,,,,,,
철판,,,,,,,,,,
벙커,레이크,,,,,,,,,
차양,,,,,,,,,,
케이블,구매,,,,,,,,,
적외선,카메라,,,,,,,,,
전용,카피,홀더,품목,,,,,,,
축전지,품목,,,,,,,,,
제설,송풍기,구매,,,,,,,,
전파,교란,탐지,시스템,보안,장치,구매,사업,,,
품목,,,,,,,,,,
복사,용지,품목,,,,,,,,
봉투,품목,,,,,,,,,
복사,용지,품목,,,,,,,,
파렛트,구매,,,,,,,,,
어린이집,주방용품,구매,수저,,,,,,,
장식,구매,,,,,,,,,
밥솥,구매,,,,,,,,,
합판,군수,비품,구매,,,,,,,
화이트보드,,,,,,,,,,
바운,마이크,품목,구매,,,,,,,
복사,용지,품목,구매,,,,,,,
전산,운영,용품,구매,,,,,,,
산업,배터리,품목,,,,,,,,
스테플러,품목,,,,,,,,,
국내,도서,구매,,,,,,,,
품목,구매,,,,,,,,,
도서,심리학,지혜,품목,,,,,,,
,,,,,,,,,,
케이블,구매,,,,,,,,,
케이블,구매,,,,,,,,,
전자레인지,품목,,,,,,,,,
케이블,구매,계약,,,,,,,,
투자,정보통,운영,용품,구매,,,,,,
,,,,,,,,,,
근속,주년,기념,휘장,제조,,,,,,
재단,,,,,,,,,,
수기,,,,,,,,,,
조달,컨테이너,,,,,,,,,
항공,과학,고교,학생용,침구,품목,구매,,,,
장비,구매,,,,,,,,,
통합,작전,통신,센터,자재,통합,배선,제조,설치,,
통합,작전,통신,센터,자재,설비,제조,설치,,,
정보,체계,운영,용품,구매,,,,,,
통합,선반,제조,설치,,,,,,,
가구,침대,제조,,,,,,,,
비디오,구축,사업,,,,,,,,
통신,센터,자재,방기,제조,구매,설치,포함,,,
통신,센터,자재,태양광,발전,장치,제조,설치,,,
연료,탱크,샌더,,,,,,,,
더블에이,복사,품목,,,,,,,,
손수레,차체,구매,,,,,,,,
부대,난방,보일러,설치,납품,,,,,,
코팅,장갑,구매,,,,,,,,
제설,송풍기,구매,,,,,,,,
형광등,,,,,,,,,,
전동,꾸리,,,,,,,,,
거점,유선,시설,보강,케이블,구매,,,,,
볼펜,,,,,,,,,,
멀티,,,,,,,,,,
무선,마우스,,,,,,,,,
도서,인류,,,,,,,,,
전기,구매,,,,,,,,,
스테플,,,,,,,,,,
클립,멀티,,,,,,,,,
신병,노트,품목,구매,,,,,,,
방향,전환,밸브,,,,,,,,
타이어,구매,,,,,,,,,
금속,,,,,,,,,,
방향,전환,밸브,,,,,,,,
스텐,파이프,,,,,,,,,
오일,인넷,,,,,,,,,
학교,생도,피복,운동,화류,구매,,,,,
영산강,병영,생활관,,,,,,,,
무기체계,내장,관리,장비,구매,,,,,,
청소기,구매,,,,,,,,,
조달,수리,요구,정통,점퍼,코드,,,,,
감시카메라,제조,설치,,,,,,,,
물류,창고,저장,제조,설치,,,,,,
지게차,구매,,,,,,,,,
부대,이글루,탄약고,제습기,제조,설치,,,,,
인쇄,용지,조지,백색,구매,,,,,,
충전,드릴,,,,,,,,,
사령부,종교시설,브리핑,장비,구매,,,,,,
국방,컨벤션,소모품,구매,연간,가계약,,,,,
대기,배출,시설,소모품,구매,연간,가계약,,,,
성당,신축,방송,설비,제조,설치,,,,,
취사,식당,방기,설치,납품,,,,,,
풋살,경기장,인조잔디,제조,설치,납품,,,,,
트렉타,구매,,,,,,,,,
시멘트,,,,,,,,,,
,,,,,,,,,,
가스,버너,구매,,,,,,,,
구매,,,,,,,,,,
해안,독서,카페,내부,성품,구매,,,,,
신교대,방송통신,장비,설치,납품,,,,,,
병원,의무,비품,옷장,제조,,,,,,
