,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
35,3구 개별스위치멀티탭 접지 등 70품목 구매,SFH,제9196부대,멀티탭,,스위치,
36,마이크로 스위치상자 51EA,SCF,해군군수사령부,상자,,스위치,
37,업무용 PC 제조설치,UMM,국군재정관리단,PC,,제조설치,
38,공군교육사령부 이동형 발전기(30kw) 제조 설치,HCM,공군교육사령부,교육,,제조 설치,
39,"앵글, 건축용 등 30품목",HCC,해군제1수리창,앵글,,건축,
40,00지역 트랙(탄성포장재)제조 설치납품,MCN,국방부근무지원단,포장재,,제조 설치,
41,공사물자(에어컨 냉매 등 000종) 구매,LMS,제7789부대,에어컨,,공사,
42,구.교회철거지역 붕괴우려지역 재난예방공사 물품구매,LMC,제7851부대,물품,,공사,
43,"열선유리,사다리꼴형 1종",SCF,해군군수사령부,사다리,,유리,
44,00부대 체육관 신축 관급자재(무대장치) 제조 설치,UMM,국군재정관리단,체육,,"신축, 제조 설치",
45,"앵글,건축용 등 20종",SDQ,해군제2수리창,앵글,,건축,
46,00부대 체육관 신축 관급자재(알루미늄시트패널) 제조,UMM,국군재정관리단,체육,,신축,
47,00부대 체육관 신축 관급자재(콘크리트파일) 제조,UMM,국군재정관리단,체육,,"신축, 콘크리트",
48,"밸브,앵글형 등 17종",SDQ,해군제2수리창,앵글,,밸브,
49,병영생활관 에어컨 전기자재 구매,LGM,제11기동사단,에어컨,,"생활관, 전기자재",
50,시설유지보수용 자제 69품목 구매,HCM,공군교육사령부,유지보수,,보수,
51,에어컨 설치 전기공사 자재구매,LMN,제6955부대,에어컨,,공사,
52,뚜껑 밸브용 가스실린더 배출구용 4EA,SCF,해군군수사령부,실린더,,밸브,
53,스위치 멀티탭 등 975종,SCF,해군군수사령부,멀티탭,,스위치,
54,카브 보수앵글 등 6항목 제조(기장),LCF,육군군수사령부,앵글,,보수,
55,17-008 시설유지보수용 자재 74품목 구매,HCM,공군교육사령부,유지보수,,보수,
56,인쇄재료(LED UV잉크)구매,UAC,국방출판지원단,인쇄,,LED,
57,"밸브,앵글형 등 18종",SDQ,해군제2수리창,앵글,,밸브,
58,18-안전선 마킹용테이프 등 190종 구매,UMM,국군재정관리단,테이프,,전선,
59,합성수지캐스트 등 4항목 구매(물품),LCF,육군군수사령부,물품,,합성수지,
60,상무아파트 3분기 경상자재 구매,LGH,육군상무대근무지원단,상자,,아파트,
61,아파트 에어컨실 방충망 설치납품,LGC,육군학생군사학교,에어컨,,아파트,
62,스위치멀티탭 등 300종 구매,SCR,해군제3함대사령부,멀티탭,,스위치,
63,"밸브,앵글형 등 4종",SCF,해군군수사령부,앵글,,밸브,
64,네트워크 스위치 등 4종 구매,MCS,국방부계룡대근무지원단,네트워크,,스위치,
65,OO사령부 통신물자(야전선) 구매,MDG,국군의무사령부,"야전선, 통신물자",,전선,
66,18-평 00훈련장 안보교육관 방송설비 제조 설치,SCQ,제9911부대,교육,,제조 설치,
67,PC/모니터 제조 설치,UMM,국군재정관리단,"PC, 모니터",,제조 설치,
68,개별스위치형 2구 멀티탭 등 2종 구매,MCS,국방부계룡대근무지원단,멀티탭,,스위치,
69,체육기구(트레드밀 등 15품목) 제조 설치,HDG,공군제10전투비행단,"체육, 체육기구",,제조 설치,
70,시설물 유지보수 전기자재 구매,HDK,공군제11전투비행단,유지보수,,"보수, 전기자재",
71,에어컨 동관 등 69품목,SFG,제9181부대,에어컨,,동관,
72,"앵글,건축용 등 2종",SCF,해군군수사령부,앵글,,건축,
73,사무실 칸막이(SGP판넬)설치납품 등 (연간 단가계약),MCN,국방부근무지원단,칸막이,,판넬,
74,LED모니터 등 7종 구매 납품,SFH,제9196부대,모니터,,LED,
75,공사 및 통신물자(석재타일 등 00종) 구매,LMS,제7789부대,통신물자,,"공사, 석재, 타일",
76,합성수지캐스트 등 9항목 구매(물품),LCF,육군군수사령부,물품,,합성수지,
77,"뚜껑, 밸브용, 가스실린더 배출구용 32EA",SCF,해군군수사령부,실린더,,밸브,
78,00아파트 공원체육시설 제조설치,LHP,제22보병사단,체육,,"아파트, 제조설치",
79,"방공, 화생방 등 4개 부대 개편 시설공사(오버크레인)",LHG,제1862부대,화생방,,공사,
80,"방공, 화생방 등 4개 부대 개편 시설공사(통합배선)",LHG,제1862부대,화생방,,공사,
81,(19-1195)LED보안등외 152품목 구매,HDM,공군제17전투비행단,보안등,,LED,
82,교육시설 보수 자재구매(19-교훈-01)2차,LRC,제7862부대,교육,,보수,
83,시설물유지보수자재 117종구매,HDK,공군제11전투비행단,유지보수,,보수,
84,네트워크 스위치 등 7종,SCQ,제9911부대,네트워크,,스위치,
85,(19-1128)사격장 유지보수 물품 제조 및 설치,HDM,공군제17전투비행단,"물품, 유지보수",,보수,
86,실린더 버터플라이 밸브 등 55종,HCF,공군군수사령부,실린더,,밸브,
87,"유지보수 박스 등 68품목 구매(근-19-102, 근-19-109)",HDT,공군작사근무지원단,유지보수,,보수,
88,유리칸막이 및 울타리(휀스) 설치납품,MCS,국방부계룡대근무지원단,칸막이,,"울타리, 유리",
89,2019년 통신물자(야전선) 구매,MDG,국군의무사령부,"야전선, 통신물자",,전선,
90,에어컨 배관 보온테이프 등 107종,SCN,제7001부대,"보온, 에어컨, 테이프",,배관,
91,19년 학교교실 디지털화(PC)제조설치(20196135-G),UMM,국군재정관리단,PC,,제조설치,
92,취사식당 신축 3개소 자산취득비 물품 구매,LKD,제32보병사단,물품,,신축,
93,00창 0도크 캡스턴 물품 제조설치,SCF,해군군수사령부,물품,,제조설치,
94,시설물유지보수자재(스틸그레이팅) 구매,HDK,공군제11전투비행단,유지보수,,보수,
95,00창 00도크 보조펌프 물품제조 설치,SCF,해군군수사령부,물품,,"제조 설치, 펌프",
96,에어컨동관 등 52품목 구매,SFG,제9181부대,에어컨,,동관,
97,"앵글, 건축용 등 10종",SDQ,해군제2수리창,앵글,,건축,
98,싱글 실린더 밸브 등 2종,SCH,해군작전사령부,실린더,,밸브,
99,실린더 버터플라이밸브 등 42종,HCF,공군군수사령부,실린더,,밸브,
100,차단기 상자 등 39항목 구매(궤도),LCF,육군군수사령부,상자,,차단기,
101,"밸브,앵글형 등 8종",SCF,해군군수사령부,앵글,,밸브,
102,(19-007)[시설] 방열기 앵글밸브 등 87종,HCQ,공군제5공중기동비행단,앵글,,밸브,
103,"밸브,앵글형 등 5종 구매",SCF,해군군수사령부,앵글,,밸브,
104,앵글체크밸브 등 3종 구매,SCF,해군군수사령부,앵글,,"밸브, 체크밸브",
105,00사 화생방 생활관 관급자재(자동제어) 제조 설치,SCN,제7001부대,화생방,,"생활관, 제조 설치",
106,"밸브,앵글형 등 16종 구매",SCF,해군군수사령부,앵글,,밸브,
107,네트워크 유지보수 자재 구매,LNT,제28보병사단,"네트워크, 유지보수",,보수,
108,"앵글, 건축용 등 2종",SCF,해군군수사령부,앵글,,건축,
109,00부대 신축 간부숙소 세탁기 구매,LGZ,제1987부대,세탁기,,신축,
110,00지역 주방기구 제조 설치,LMG,제6군단사령부,주방기구,,제조 설치,
111,교육장비 콘크리트 구조물 안전진단기 구매(설치),LFN,육군3사관학교,교육,,콘크리트,
