개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
개찰완료,10:30,2016-04-15,제한경쟁,총액계약,제3283부대,ZD00157,14563106.00,최저가격제,0.000,제3283부대,ZD00157,물품,14625391.00,고정카메라 등 10품목 구매,SFL0051,1,N,13325200.00,김순선,김순선,포항케이피엘(KPL),506-09-81810,경상북도 포항시 북구 중앙로245번길 7(),91.110,2016-04-15,0.0,육군
개찰완료,14:00,2016-04-12,제한경쟁,총액계약,해군제2수리창,ZD00986,13060000.00,최저가격제,0.000,해군제2수리창,ZD00986,물품,13231627.00,그린가드후드작업복 등 27종,SDQ0015,1,N,10685000.00,전병욱,전병욱,영화산업,123-36-25813,경기도 안양시 만안구 냉천로203번길 4(),80.753,2016-04-12,0.0,해군
개찰완료,11:00,2016-04-14,일반경쟁,총액계약,국군재정관리단,ZD00303,387678000.00,적격심사제,82.995,국군재정관리단,ZD00303,물품,381578102.00,전산운영용품 구매,UMM0196,1,Y,322771700.00,김영길,박노택,주식회사 텔레필드,120-86-11843,"경기도 성남시 분당구 판교로 255, 판교이노밸리 이-301(삼평동)",84.588,2016-04-14,0.0,기타
유찰,10:30,2016-04-15,지명경쟁,총액계약,제9965부대,ZD00075,21982653.00,최저가격제,0.000,제9965부대,ZD00075,물품,,단안 야간 투시경 구매,MDR0021,1,N,,,,,,,,,0.0,육군
유찰,14:00,2016-05-04,일반경쟁,총액계약,방위사업청,1690000,468000000.00,적격심사제,,방위사업청,1690000,물품,,교판(공병 보도조립체 교량용),EHA0019,1,Y,,,,,,,,,0.0,국방부직할
개찰완료,14:00,2016-05-17,일반경쟁,총액계약,방위사업청,1690000,468000000.00,적격심사제,,방위사업청,1690000,물품,472667500.00,교판(공병 보도조립체 교량용),EHA0019,2,Y,399990000.00,김순덕,김창환,주식회사 동양목재,137-81-01125,인천광역시 서구 길무로 205(오류동),84.623,2016-05-17,0.0,국방부직할
유찰,14:30,2016-04-15,일반경쟁,총액계약,육군군수사령부,1290307,114396000.00,적격심사제,0.000,육군군수사령부,1290307,물품,,K21장갑차 발전기 엔진보조용 외주정비,LCF0009,1,Y,,,,,,,,,0.0,육군
유찰,14:30,2016-04-21,일반경쟁,총액계약,육군군수사령부,1290307,114396000.00,적격심사제,0.000,육군군수사령부,1290307,물품,,K21장갑차 발전기 엔진보조용 외주정비,LCF0009,2,Y,,,,,,,,,0.0,육군
유찰,10:30,2016-04-15,제한경쟁,총액계약,공군군수사령부,ZD00306,22031000.00,적격심사제,87.995,공군군수사령부,ZD00306,물품,,프로그래머 등 4종 제조,HCF0053,1,Y,,,,,,,,,0.0,공군
유찰,10:30,2016-04-21,제한경쟁,총액계약,공군군수사령부,ZD00306,22031000.00,적격심사제,87.995,공군군수사령부,ZD00306,물품,,프로그래머 등 4종 제조,HCF0053,2,Y,,,,,,,,,0.0,공군
개찰완료,14:00,2016-06-09,제한경쟁,총액계약,방위사업청,1690000,132309000.00,적격심사제,88.000,방위사업청,1690000,물품,131945407.00,피스톤 컴플레트 외 13종(압축기 부품),EGC0065,1,Y,116325000.00,김태원,김태원,주식회사 씨알테크,793-86-00111,"경기도 화성시 양감면 송말길8-7 , C동",88.161,2016-06-09,0.0,국방부직할
개찰완료,10:30,2016-03-31,제한경쟁,총액계약,공군군수사령부,ZD00306,33060000.00,최저가격제,0.000,공군군수사령부,ZD00306,물품,32894440.00,방화복,HCF0027,1,N,22984500.00,김윤관,문윤형,주식회사 린인터내셔널,120-88-20142,서울특별시 강남구 도산대로35길24-1 (신사동),69.873,2016-03-31,0.0,공군
유찰,11:00,2016-06-10,수의계약,총액계약,방위사업청,1690000,65938000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸용 아크릴,EGG0062,1,Y,,,,,,,,,0.0,국방부직할
유찰,11:00,2016-06-24,수의계약,총액계약,방위사업청,1690000,65938000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸용 아크릴,EGG0078,1,Y,,,,,,,,,0.0,국방부직할
유찰,11:00,2016-07-01,수의계약,총액계약,방위사업청,1690000,65938000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸용 아크릴,EGG0083,1,Y,,,,,,,,,0.0,국방부직할
유찰,11:00,2016-06-17,수의계약,총액계약,방위사업청,1690000,65938000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸용 아크릴,EGG0062,2,Y,,,,,,,,,0.0,국방부직할
