,입찰공고명,공고기관명
563,센서  촉각반응용 등 4품목,해군제1정비대대
568,플렌지 너트 1 000EA,해군군수사령부
569,표시기 산소유출용 1종,해군군수사령부
594,16년 공군 연습용 워게임모델 성능개선 용역,국군재정관리단
595,점화플러그 등 22종,해군군수사령부
596,입시홍보물품(포스트잇 등 2종) 구매,해군사관학교
597,함정용 위성방송수신안테나 유지보수 정비,해군군수사령부
599,와이프용 구동유니트,방위사업청
600,와이프용 구동유니트,방위사업청
601,약기 등 5종,제9181부대
602,00공사 관급자재 가스절연부하개폐기 구매,국군재정관리단
603,자동기상관측장비 등 6종 유지보수 정비,해군군수사령부
604,방공관제레이더무선주파수용증폭기외주정비(117E1),공군군수사령부
605,방공관제레이더무선주파수용증폭기외주정비(117E1),공군군수사령부
606,고임쇠 철제 소형 등 5항목 구매(물자),육군군수사령부
607,세척제 일반목적용(20Kg) 1항목 구매(물자),육군군수사령부
608,종이타올,공군군수사령부
609,16년 인터넷 유해사이트 차단체계 교체사업,국군재정관리단
610,체력단련장 코스관리자재 비료 구매,국군재정관리단
611,체력단련장 코스관리자재 농약 구매,국군재정관리단
612,체력단련장 코스관리자재 모래 구매,국군재정관리단
613,15년 정보보호체계 교체사업 리스,국군재정관리단
614,마포대 등 504종,해군교육사령부
615,플라스틱 제본링 등 854종,해군교육사령부
617,육군 부대기(11종) 제조,국군재정관리단
623,반합,방위사업청
624,반합,방위사업청
625,관사 리모델링 창호 구매 및 설치,제7016부대
628,연료시스템  모듈식 등 55종,해군군수사령부
629,어린이집 아동도서 729종 구매,제9965부대
630,의장대대 행사용품 구매(해군 의장마크 등 00종),국방부근무지원단
631,오렌지,해군군수사령부
638,씻어나온쌀,해군군수사령부
671,플라이형 제침기 등 183종,제5738부대
672,구두솔 등 843종,해군작전사령부
673,해류유속계 등 8종,해군작전사령부
674,16-잠수함 전투복 제조납품,국군재정관리단
675,세탁기 트레일러탑제식,방위사업청
676,세수비누 등 19품목 구매,제3283부대
678,조리병교육대 교육 재료,제5378부대
679,조리병교육대 교육 재료,제5378부대
680,계산기셋트(KM28) 등 4항목 구매(물자),육군군수사령부
681,황산칼륨 등 12항목 구매(물자),육군군수사령부
691,지퍼백등18종구매,제2879부대
694,근속 30주년 기념휘장 등 3종 제조 구매,해군본부
695,개스킷 실린더 헤드용 등 13종,해군제2수리창
696,플라스틱 소변컵 등 169종,제5738부대
698,16년 소형 대공표적기(표적기 등 4품목),방위사업청
706,16-1차 시추공 매몰방지용 자재(흑관 등 9종) 구매,육군본부
708,진동분석장비 구매,국군재정관리단
709,기타유지물자(비닐),국군재정관리단
711,행정소모품(복사용지) 구매,제9965부대
712,구동제어장치류,방위사업청
716,덮개 및 멜빵,방위사업청
717,생도 태블릿 PC 구매,국군재정관리단
726,카놀라유,해군군수사령부
736,미향,해군군수사령부
742,크래미(냉동),해군군수사령부
749,체력단련장 비료 구매,제6619부대
750,바인더 등 263종,제5738부대
751,자동차 동력 전달 제어 장치,공군군수사령부
756,냉장염지조각닭 등 7종 구매,해군군수사령부
757,순살조각닭 등 6종 구매,해군군수사령부
759,덴티안 미러핸들 등 152종,제5738부대
760,포토용지 등 279종,제5738부대
761,무초산형 실리콘 등 461종,제5738부대
762,K9베어링구매,제2879부대
764,건사료 군견용,방위사업청
765,건사료 군견용,방위사업청
766,건사료 군견용,방위사업청
767,비호용 전원공급기(POWER SUPPLY),방위사업청
768,군장품(포제약장 등 7종) 제조,특수전사령부
769,에어파스 등 64품목 구매,제3283부대
770,LED 채널 간판 구매,제3283부대
771,보온대(주머니난로) 구매,제5378부대
772,2016년 영선자재 구매,국방부근무지원단
773,어린이집 비품 32종 구매,제9965부대
774,삼상유도전동기 등 113종,해군작전사령부
775,풀페이스 마스크 등 8종,해군작전사령부
776,레스큐 스트롭 등 9종,해군작전사령부
777,복사용지 등 207종,제5738부대
778,어린이집 가전제품 22종 구매,제9965부대
779,특수강등3종구매,제2879부대
780,16년 예비군훈련 중식 제조 납품 계약,제36보병사단
781,어린이집 교구교재 310종 구매,제9965부대
782,어린이집 취사 비품류 100종 구매,제9965부대
783,인청동판등3종구매,제2879부대
784,스프링등6종구매,제2879부대
785,스티카비닐등3종구매,제2879부대
786,폴리우레탄신나구매,제2879부대
787,액체알곤 등 5종 구매,공군군수사령부
788,경기용탄약구매(트랩탄 스키탄),국군체육부대
789,아세톤 등 3종,공군군수사령부
790,유류흡착패드 등 5종,공군군수사령부
791,유류흡착패드 등 5종,공군군수사령부
792,파이프 커플링 등 336종,해군교육사령부
793,액화석유가스(LPG),공군제38전투비행전대
795,토너(P3005/Q7551) 등 53종 구매,제8385부대
797,16-해군특전 전투복(상  하)제조 납품,국군재정관리단
798,16-고속정 항해복 제조 납품,국군재정관리단
799,인쇄소모용품 11종 구매,국방출판지원단
802,00부대 지뢰제거작전 개인보호물자 구매,제2236부대
803,16년 액화석유가스(LPG) 구매,제5378부대
814,계체단 구룡코스 전동카 구동배터리 구매설치,육군인사사령부
817,패킹 등 43항목 구매(기장),육군군수사령부
818,볼트 유체 통로용 등 624항목 제조(기장),육군군수사령부
819,실린더 조립체 작동식 선형 등 9항목 제조(기장),육군군수사령부
820,20mm 발칸 링크 구매,제9911부대
821,16-고속단정 00호정 엔진 정비,제8385부대
823,00지역 CCTV 설치납품,제2136부대
824,16-물류작업복(하계T) 등 3종 제조,국군재정관리단
825,16-114 디지털카메라 등 14종,공군사관학교
826,연막탄발사기부품류,방위사업청
827,터빈 연료 항공용(JP-8)(화차A지역),방위사업청
828,터빈연료 항공용(제트유),방위사업청
829,터빈연료 항공용(제트유),방위사업청
830,준공검사 검측장비 구매,국군재정관리단
