,입찰명,발주기관
25980,영내자 증식 떡 및 생일자 쌀 케익크 제조납품,제3697부대
26020,쌀햄버거빵 등 25품목 구매,연평부대
26059,18년 3.1절 경축특식 빵세트,제1군수지원사령부
26066,18년 3.1절 경축특식 빵세트,제1군수지원사령부
26072,아이스(냉) 찹쌀떡 제조 납품,제3170부대
26178,충전 햄머드릴 등 36항목 구매(물자),육군군수사령부
26190,사각어묵 등 10종 구매,제9911부대
26236,18년 백령도 빵류 구매 납품,제9196부대
26298,빵류 등 2품목(설날특식),제9181부대
26330,즉석식품류(어묵바),제7789부대
26332,빵류(소시지빵),제7789부대
26335,빵류(피자빵),제7789부대
26336,빵류(소보로빵),제7789부대
26339,즉석식품류(용기어묵),제7789부대
26341,빵류(크림빵),제7789부대
26349,즉석식품류(어묵바),제7789부대
26351,빵류(소시지빵),제7789부대
26354,빵류(피자빵),제7789부대
26355,빵류(소보로빵),제7789부대
26358,즉석식품류(용기어묵),제7789부대
26360,빵류(크림빵),제7789부대
26394,18년 영내자용 떡 및 케이크 구매,제15보병사단
26439,"3.1절 경축특식(핫바,어묵)",제2167부대
26557,빵류 등 6품목,제9181부대
26558,떡류 등 21품목,제9181부대
26575,18년 증식용 떡 제조납품,제2236부대
26583,닭고기 등 18종(축산물),제7001부대
26616,슈크림빵 등 14종 구매,제3170부대
26621,20년 설날 경축 특식(훈제닭다리) 제조 구매,제1군수지원사령부
26653,2020년 설날 경축특식(훈제닭다리),제2군수지원여단
26659,"'20년 한마음회관 식자재 구매(쌀, 공산품)",공군군수사령부
26761,'20년 설 경축특식 구매(훈제닭다리),제 2167부대
26934,콩나물 등 36종 구매,해군제3함대사령부
27769,도서(밥보다 책 등 445종) 구매,해군교육사령부
29317,국군의날 경축특식 훈제닭다리,제3군수지원여단
29535,19년 추석 경축 특식(훈제닭다리)구매,제1군수지원사령부
29766,도서(침묵의 봄) 등 606품목 구매,제9691부대
29947,통닭박스 등 13종,해군군수사령부
30088,'19년 추석 경축특식(훈제닭다리) 구매,제 2167부대
30149,콩기름,급식유류계약팀
30529,19년 광복절 경축 특식(훈제닭다리)구매,제1군수지원사령부
30787,쌀국수비빔면,급식유류계약팀
30788,떡볶이떡,급식유류계약팀
30789,떡국떡,급식유류계약팀
30809,'19년 제헌절 경축특식(훈제닭다리),5군수지원사령부
30863,'19년 영내자 증식용 떡 제조 납품,제1729부대
31256,'19년 제헌절 경축특식(훈제닭다리),제 2167부대
31393,즉석쌀국수 사골맛,급식유류계약팀
31394,즉석쌀국수 사골맛,급식유류계약팀
31395,즉석쌀국수 사골맛,급식유류계약팀
31396,즉석쌀국수 사골맛,급식유류계약팀
31397,즉석쌀국수 멸치맛,급식유류계약팀
31398,즉석쌀국수 멸치맛,급식유류계약팀
31399,즉석쌀국수 멸치맛,급식유류계약팀
31400,즉석쌀국수 멸치맛,급식유류계약팀
31603,"축,어깨형 등 19종",해군제2수리창
31671,"볼트, 리브어깨형",일반장비계약팀 (구:19.09.16)
31876,햄슬라이스,급식유류계약팀
31877,햄슬라이스,급식유류계약팀
31878,햄슬라이스,급식유류계약팀
31879,햄슬라이스,급식유류계약팀
32418,프레스햄 통조림 구매,해군군수사령부
32535,"19년 영내자증식(떡, 케이크) 제조 구매",제7보병사단
32572,시리얼(쌀맛후레이크),급식유류계약팀
32632,햄버거빵(2형),급식유류계약팀
32633,햄버거빵(2형),급식유류계약팀
32634,햄버거빵(2형),급식유류계약팀
32635,햄버거빵(2형),급식유류계약팀
32636,핫도그빵,급식유류계약팀
32637,핫도그빵,급식유류계약팀
32638,핫도그빵,급식유류계약팀
32639,핫도그빵,급식유류계약팀
32741,햄,급식유류계약팀
32742,햄,급식유류계약팀
32743,햄,급식유류계약팀
32744,햄,급식유류계약팀
32756,콩나물,급식유류계약팀
32757,콩나물,급식유류계약팀
32758,콩나물,급식유류계약팀
32759,콩나물,급식유류계약팀
32830,떡류 등 21품목 제조 구매,제9181부대
32873,비빔밥 그릇 구매,제7001부대
32961,19년 영내자용 떡 및 케이크 구매,제15보병사단
32982,빵류 6품목 구매,제9181부대
33017,생선묵(튀김),급식유류계약팀
33018,생선묵(떡볶이용),급식유류계약팀
33019,생선묵(떡볶이용),급식유류계약팀
33020,생선묵(떡볶이용),급식유류계약팀
33021,생선묵(떡볶이용),급식유류계약팀
33022,생선묵(튀김),급식유류계약팀
33023,생선묵(튀김),급식유류계약팀
33024,생선묵(튀김),급식유류계약팀
33028,야채건빵,급식유류계약팀
33029,야채건빵,급식유류계약팀
33030,야채건빵,급식유류계약팀
33031,야채건빵,급식유류계약팀
33032,참깨건빵,급식유류계약팀
33033,참깨건빵,급식유류계약팀
33034,참깨건빵,급식유류계약팀
33035,참깨건빵,급식유류계약팀
33036,건빵,급식유류계약팀
33037,건빵,급식유류계약팀
33038,건빵,급식유류계약팀
33039,건빵,급식유류계약팀
33184,충전 햄머드릴 등 3항목 구매(물자),육군군수사령부
33200,물엿,급식유류계약팀
33260,프레스햄통조림 등 13종,해군 기동함대사령부
33473,19년 영내자 증식용 떡 구매,제1보병사단
33474,19년 생일자 쌀케이크 구매,제1보병사단
33478,19년 영내자 증식용 떡 구매,제1보병사단
33479,19년 생일자 쌀케이크 구매,제1보병사단
33554,"다목적굴착기 축,어깨형 구매",육군종합정비창
33590,19년 증식용 떡 및 케이크 구매,제1862부대
33616,'19년 영내자용 떡 및 케이크 구매,제1288부대
33786,영내자 떡 및 생일자 케이크 구매,육군사관학교
33787,영내자 떡 및 생일자 케이크 구매,육군사관학교
34187,19년 영내자증식용 떡 및 생일자케이크 구매,제2236부대
34188,19년 영내자 떡 및 케이크 구매,제5767부대
34194,통닭박스 등 10종,해군군수사령부
34202,"19년 영내자 증식(떡, 케이크) 구매",수도방위사령부
34203,"19년 영내자 증식(떡, 케이크) 구매",수도방위사령부
34388,19년 생일자 쌀케이크 제조 납품,제1729부대
34470,'19년 증식떡 및 떡케이크 제조납품,제51보병사단
34515,"'19년 영내자 증식(떡, 쌀케이크) 제조/납품",제3697부대
34550,사각어묵 등 10종 구매,제9911부대
34576,냉장염지조각닭 등 13종 구매,해군군수사령부
34580,19년 떡/케이크 제조납품,육군 52보병사단
34683,영양눈쌀인절미 등 76품목 구매,연평부대
34684,쌀햄버거빵 등 33품목 구매,연평부대
34888,19년 영내자 떡 및 케이크 구매,제2군단
34938,19년 백령도 빵류 구매 납품,제9196부대
35034,냉찜질기 등 7품목 구매(물품),육군군수사령부
35206,3.1절 경축특식 빵세트,제3군수지원여단
35239,19년 간부식당 쌀 800포 구매,국방부계룡대근무지원단
35266,멜라민밥공기 등 12종,제7001부대
35358,19-목-증식(콩나물 등 34종) 구매,해군제3함대사령부
35410,모듬두텁떡 등 4종 구매,제3170부대
35414,3?1절 경축특식(훈제 닭다리) 제조 / 구매,제7789부대
35430,19년 설특식(훈제닭다리) 구매,제2167부대
35470,21-목 콩나물 등 25종 구매,해군제3함대사령부
35517,"'21년 한마음회관 식자재 구매(쌀,공산품)",공군군수사령부
35519,"'21년 한마음회관 식자재 구매(쌀,공산품)",공군군수사령부
35806,'21년 신정경축특식(훈제닭다리)구매,제2군수지원여단
35843,'20년 (성탄절)경축특식 조각닭다리,제 2167부대
35967,성탄절 경축특식 훈제닭다리,제3군수지원여단
37836,추석 경축특식 훈제닭다리,제3군수지원여단
37856,20년 경특식 한글날 훈제닭다리 구매,제1군수지원사령부
37878,20년 증식떡 및 떡케이크 제조납품,제51보병사단
37942,'20년 국군의날 경축특식(훈제닭다리) 구매,5군수지원사령부
38344,통닭박스 등 28종,해군군수사령부
38386,'20년 광복절 경축특식(훈제 닭다리),제 2167부대
38444,조미료(떡볶이 분말 등 17종) 구매,국방부계룡대근무지원단
38933,소불고기덮밥소스,급식유류계약팀
38934,찹쌀탕수육,급식유류계약팀
38936,찹쌀탕수육,급식유류계약팀
38937,찹쌀탕수육,급식유류계약팀
38938,찹쌀탕수육,급식유류계약팀
39067,소양념갈비찜,급식유류계약팀
39068,잡채볶음밥,급식유류계약팀
39069,통새우볶음밥,급식유류계약팀
39362,물엿,급식유류계약팀
39398,'20년 광복절 경축특식(훈제닭다리),제2군수지원여단
