,입찰명,발주기관,낙찰자(상호)
2200,Double A 등 759종 구매,제9121부대,찰스인코리아
2203,줄넘기 등 25종 구매,제9911부대,동진상사
2204,점프 스타터 등 33종,제9181부대,경기종합상사
2205,공기압 자동주입기 등 18종 구매,해군제3함대사령부,동서종합상사
2222,화인코트지등18종 구매,국방출판지원단,주식회사 이레씨앤피
2230,콘로드조립품 등 16품목,해군제1수리창,(주)동건
2238,내화캐비닛(4단) 등 2품목,제9691부대,유진시스템
2240,장화건조기 등 8종 구매,해군제3함대사령부,동서종합상사
2244,제설함 등 13종 구매,국방부계룡대근무지원단,대경상사
2246,염화칼슘(국내산)외 3종 구매,국방부계룡대근무지원단,주식회사 라이프환경
2251,고정용 중계기 등 6종 구매설치납품,국방부계룡대근무지원단,주식회사 마루종합전기
2258,구조용 하네스 등 10종,제5738부대,주식회사 엠피알 코리아
2259,V-belt 등 24종,제5738부대,연천종합물산
2261,매립식 리프트 설치납품,국방부근무지원단,노마드 오토 & 테크(Nomad Auto & Tech)
2266,에프시 듀라토프 디피 등 14품목,해군제1수리창,영동상사
2268,플레이스테이션4 등 8종,해군교육사령부,백산
2271,카샴푸 등 20종 구매,제9911부대,비즈드림
2272,티꽂이매트 등 18종 구매,제9911부대,잇사갈
2273,다리미 등 11종 구매,제9911부대,유진시스템
2276,자동하도메기 등 2종 구매,해군제3함대사령부,대건상사
2278,00부대 통신운영용품 구매,제1363부대,주식회사 에이트이엔씨
2281,벤조유니온 등 17종 구매,해군제3함대사령부,(유)한일상사
2294,사진 인화지 구매,제5897부대,휴앤프로
2299,건식잠수복 등 4종 구매,국군재정관리단,(주)퍼스코
2303,조16-방관사-68 군수과 살포기,공군방공관제사령부,한 인터내셔널
2324,트랙터(53마력 및 구성품포함) 구매,공군제15특수임무비행단,(주)오성인피니티
2325,디지털도어록,재경근무지원대대,와이엠
2326,강철조각 1종,해군군수사령부,누리
2333,저격수 스틸타켓 등 14종,제9227부대,포항케이피엘(KPL)
2334,"와이어,전기용 등 9종(2-2)",해군제2수리창,금호전기조명(주)
2335,콘덴서 등 246종(1-2),해군제2수리창,금호전기조명(주)
2338,16년 야전정비현대화공구세트 화포용,물자계약팀,대성기업
