,입찰공고명,공고기관명
5212,전원공급기 시험장비 TPS 제어부 랙 제조설치,국군재정관리단
5237,차량정비고 25톤 리트프 제조설치(이전설치 포함),국군재정관리단
5269,간부숙소 6개소 개수 바닥난방시설 설치 구매,제1607부대
5280,국군교도소 침대생산자재 제조(목재류),국방부조사본부
5321,고정식 연결의자 제조설치 납품,제3697부대
5322,군숙소 도배/장판 설치납품(단가),제2군단
5343,000사업 UPS 및 배터리 제조설치,제3707부대
5362,00부대 컨테이너 창고 제조설치,국군재정관리단
5374,노후 WAN 장비 제조설치,국군재정관리단
5383,000사업 CCTV 제조설치,제3707부대
5398,태성대아파트 보일러 구매 및 설치,공군항공안전단
5420,학무관 신축공사 통합배선 제조설치,국군재정관리단
5469,고강도 콘크리트파일(PHC파일) 구매,공군제11전투비행단
5470,고강도 콘크리트파일(PHC파일) 구매,공군제11전투비행단
5478,00부대 풋살경기장 스포츠바닥재(1개소) 제조설치납품,제5군단사령부
5492,16-본-공-01(특기교육생 식당개선) 보일러 구매/설치,공군교육사령부
5493,16-본-공-01(특기교육생 식당개선) 보일러 구매/설치,공군교육사령부
5504,CCTV 및 관제장비 제조설치 납품,제7821부대
5512,00부대 경계용 CCTV 제조설치,국군재정관리단
5517,`14-본-육-07  000대대 이전사업 조명기구 제조설치,국군재정관리단
5527,00부대 이전사업 관급자재(타일 4종) 설치납품,국군의무사령부
5538,00사단 CCTV 제조설치,국군재정관리단
5555,00사단 호이스트크레인 제조설치,국군재정관리단
5606,고수방어진지 개선 발전기 제조설치,국군재정관리단
5639,인터컴 세트(전관방송설비) 제조설치,국군재정관리단
5671,CCTV POLE 제조설치,국군재정관리단
5688,직장어린이집 가구 제조설치,제6955부대
5722,00학교 이전사업 관급자재(디자인휀스) 제조설치,국군재정관리단
5763,00부대 병영식당 합성수지제창 창호 제조설치 납품,제3697부대
5775,16-진-자전거거치대 14EA 제조설치,국군재정관리단
5778,만종리 훈련장 사무비품 제조설치,제36보병사단
5790,자주포 정비고 크레인 제조설치,제17보병사단
5838,자동주유기 제조설치,국군재정관리단
5858,철재공구함 등 3항목  구매(물자),육군군수사령부
5869,16-평 00관사(아파트) 싱크대 제조 설치,제9911부대
5888,`13-본-국대-01  00학교이전 능형망휀스 제조설치,국군재정관리단
5930,00부대 병영식당 냉장고(관통형)제조설치 납품,제3697부대
5981,00부대 대대 발진기지 구축 토목자재 구매,제7군단
5982,00부대 대대 발진기지 구축 토목자재 구매,제7군단
6024,독신숙소 건립 PVC 제조납품,제5861부대
6120,출입통제체계용 철제울타리 제조설치,국군재정관리단
6121,16-충-육-1 건식제습기 제조설치,국군재정관리단
6136,00사령부 행정 사무비품 32종 제조설치,국군재정관리단
6140,16-충-육-1 수배전반 제조설치,국군재정관리단
6162,16-P-00대대 통합정비고 크레인 제조설치,제9227부대
6213,YRP 중학교 및 보육센터 철재가구 제조설치,국군재정관리단
6214,YRP 중학교 및 보육센터 목재가구 제조설치,국군재정관리단
6218,무선중계기 등 6종 제조설치,국군재정관리단
6283,독신숙소 건립 통합배선 제조납품,제5861부대
6285,교도소 침대생산자재(목재류) 제조납품,국군재정관리단
6312,`13-본-국대-01 00학교이전 조명타워 제조설치,국군재정관리단
6321,럭키타운아파트 가스보일러 설치납품,제3707부대
6360,시멘트 등 3종,해군제2수리창
6372,00부대 간부숙소 합성수지제창 제조설치,국군재정관리단
6378,00부대 간부숙소 신축 가스보일러 제조설치납품,육군제8971부대
6385,16-평-군 관사 보일러 구매설치,제9911부대
6386,16-평-군 관사 보일러 구매설치,제9911부대
6396,교도소 침대생산자재(철재류) 제조납품,국군재정관리단
6445,16-공-본-17 관급자재(통합배선) 제조설치,국군재정관리단
