입찰명
멀티크리너 등 47종
항-16-077 생화학분석기 기약 등 31종
OO부대 인조잔디 설치 납품
총기이동식 거치대 32EA
4/4분기 도서 구매
00부대 동원훈련장 온수보일러 제조설치 납품
00부대 동원훈련장 온수저장탱크 제조설치납품
00부대 녹음용 전화기 구매
의무장비 운영소모품 32종 구매(16-32차)
문서보존상자 등 77종
의약품 및 임상병리 시약구매(11월)
복사용지 등 78종
양면 풀테이프 등 55종
아파트 디자인울타리 제조설치
중형굴삭기 반자동 크러셔 설치납품
시그마 매트 등 18종
00부대 울타리 철조망 자재납품
엔진 양수기 등 2종
"센서,촉각반응용 등 5종"
핸드파렛트 트럭 등 3종
면장갑 등 5종
배터리 등 6종 구매
전기연장선 등 60종 구매
'16년 00망 정보보호체계 구매 설치
사열대 등 6종 구매 제조
일반의약품 105종 구매
매립콘센트 등 63종 구매
재경학습관 전자제품 구매설치
광망 제설용 송풍기 구매
접적대대 지휘통제실 화면전시체계 보강사업
어린이집 전자제품 구매(청소기 등 33종)
OO부대 GOP 난방시설 설치납품 등 6건
00부대 보온대 구매
00부대 동계 물품 구매
16-9차 전산운영용품 구매
정보체계용품 SSD 구매
전산운영용품 구매
(16-189) ㄱ앵글 등 24품목
제설용 송풍기 구매
00지역(연천) 롤테이너 등 5종 구매
17년 영업배상보험 및 캐디근재보험
(16-183) 노면표지용도로 등 15품목
시설자재(럭비장 차양대 등 8건) 구매
반조봉 등 5종 구매
고속고무보트 7인승 제조
"리드선 조립체, 전기용 100EA 구매"
상패보관함 2EA 구매
문서보존상자 등 98종
복사용지 등 111종
복사용지 등 11종 구매
칸막이 진열장 등 2종 제작 납품
일반의약품 141종 구매
3KW 발전기 등 3품목 구매(16-283호)
영내 설치용 태양광가로등 구매
ATCIS 전산용품 구매(244개)
철판 등 9종
벙커레이크 등 6종
차양망 등 12종
UTP케이블 등 13종 구매
적외선 IP카메라 등 4종
LCD전용카피홀더 등 75품목(16-376호)
축전지등 25품목(16-300호)
제설용 송풍기 구매
GPS 전파교란 탐지시스템 보안장치 구매사업
NVR(16CH) 등 6품목(16-364호)
복사용지 84품목(16-388)
황봉투 등 32품목(16-394호)
복사용지 등 48품목(16-373호)
파렛트 구매
어린이집 주방용품 구매(수저통 등 88종)
장식장 등 2종 구매
밥솥 등 2종 구매
합판 등 군수비품 5종 구매
화이트보드 등 154종
바운더리 마이크 등 39품목 구매
복사용지 등 141품목 구매
16-4차 전산운영용품 구매
산업용UPS배터리 등 84품목(16-360호)
스테플러 등 112품목 (16-282호)
국내 도서 구매(7차)
DC11C6550/Toner Black 등 11품목 구매(16-357호)
도서(나를 바꾸는 심리학의 지혜 등 28품목)(16-293)
PLOTTER Paper 등 8종(16-358호)
SFTP 케이블 구매(16-387호)
UTP 케이블 구매(16-383호)
전자레인지 등 5품목(16-375호)
동케이블 등 3종 구매계약
재투자 정보통신운영용품 구매(16종)
넥게이터 등 5종
근속 30주년 기념휘장 등 5종 제조
재단기 등 2종
전기온수기
"조달-방-16-67,70 컨테이너"
항공과학고교 학생용 침구류 6품목 구매
SSD장비 구매
통합작전 통신센터 관급자재-통합배선 제조 설치
통합작전 통신센터 관급자재-AV설비 제조 설치
정보체계운영용품 2차 구매
통합배선반 제조 설치
가구류(침대 등 30종) 제조
비디오월(DID) 구축사업
통신센터 관급자재-냉난방기 제조/구매(설치포함)
통신센터 관급자재-태양광발전장치 제조 설치
연료탱크샌더 등 185종
더블에이 복사지등 46품목(근-16-188)
손수레 차체 등 2종 구매
00부대 난방보일러 설치납품
반코팅 장갑 구매
제설용 송풍기 구매
형광등 등 57종
전동꺼꾸리
거점 유선시설 보강을 위한 동케이블 구매
볼펜심 등 54종
멀티텝 등 85종
무선마우스 등 47종
"도서 ""제3인류"" 등 276종"
전기튀김기 등 6종 구매
제본용 스테플 등 109종
클립온 멀티펜 등 56종
신병노트 등 3품목 구매
방향전환밸브 등 8종
타이어 등 70종 구매
"바,금속제 등 15종"
방향전환밸브 등 8종
스텐파이프 등 14종
오일 씰 인넷 등 279종
00학교 생도피복(운동화류) 구매
"46,영산강소초 GOP 병영생활관"
무기체계 내장형SW 관리장비 구매
청소기 등 00 종 구매
조달(수리)요구서(16-871)[정통]광 점퍼코드 등 48종
16-동-감시카메라(CCTV) 제조 설치
물류창고 저장랙 제조설치
전동지게차(5대) 구매
00부대 이글루 탄약고 제습기 제조설치(4)
인쇄용지(모조지백색)구매
충전 함마드릴 등 4종
사령부 종교시설 브리핑장비 구매
'17년 국방컨벤션 소모품 구매(연간 단가계약)
'17년 대기배출시설 소모품 구매(연간 단가계약)
성당 신축 AV방송설비 제조설치
16년 취사식당 냉난방기 설치납품
00소초 풋살경기장 인조잔디 제조설치납품
69톤 트렉타 구매
